"","BFS_orig","NAME_orig","BFS_nb","NAME_nb"
"164.4",296,"Illnau-Effretikon",180,"Weisslingen"
"164.5",296,"Illnau-Effretikon",199,"Volketswil"
"164.6",296,"Illnau-Effretikon",230,"Winterthur"
"164.7",296,"Illnau-Effretikon",231,"Zell (ZH)"
"165.1",297,"Bauma",111,"Bäretswil"
"165.2",297,"Bauma",114,"Fischenthal"
"165.3",297,"Bauma",173,"Hittnau"
"165.4",297,"Bauma",177,"Pfäffikon"
"165.5",297,"Bauma",181,"Wila"
"165.6",297,"Bauma",182,"Wildberg"
"166.1",298,"Wiesendangen",218,"Ellikon an der Thur"
"166.2",298,"Wiesendangen",219,"Elsau"
"166.3",298,"Wiesendangen",220,"Hagenbuch"
"166.4",298,"Wiesendangen",225,"Rickenbach (ZH)"
"166.5",298,"Wiesendangen",230,"Winterthur"
"166.6",298,"Wiesendangen",294,"Elgg"
