,,,Gemeindesteuerfüsse 1991 / Gewogene Mittel,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,Steuerfuss
,,,Gemeinden,,,,,,,,-,-,-,-,-,-,-,-,-,-,
,,,Hauptgebiete,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,für jurist-
,,,Bezirke,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische
Alph.,BFS,P 90,Regionen,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,ohne Kirche,mit Kirche,,ohne Kirche,mit Kirche,Personen
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4 ,1 ,1,Aeugst a.A.,53 ,48 ,0 ,18 ,13 ,16 ,13 ,119 ,132 ,135 ,132 ,,,130.6 ,,,130.8 ,132.90 
5 ,2 ,2,Affoltern a.A.,38 ,55 ,0 ,18 ,14 ,16 ,13 ,111 ,125 ,127 ,124 ,,,124.6 ,,,124.4 ,125.88 
17 ,3 ,3,Bonstetten,26 ,69 ,0 ,24 ,14 ,15 ,13 ,119 ,133 ,134 ,132 ,,,131.5 ,,,131.3 ,133.34 
56 ,4 ,4,Hausen a.A.,37 ,48 ,0 ,24 ,12 ,16 ,13 ,109 ,121 ,125 ,122 ,,,120.6 ,,,120.4 ,122.44 
57 ,5 ,5,Hedingen,46 ,0 ,73 ,0 ,14 ,16 ,13 ,119 ,133 ,135 ,132 ,,,132.2 ,,,132.3 ,133.74 
74 ,6 ,6,Kappel a.A.,36 ,49 ,0 ,24 ,14 ,16 ,13 ,109 ,123 ,125 ,122 ,,,122.8 ,,,122.4 ,123.50 
78 ,7 ,7,Knonau,23 ,60 ,0 ,31 ,14 ,16 ,13 ,114 ,128 ,130 ,127 ,,,127.6 ,,,127.7 ,128.72 
87 ,8 ,8,Maschwanden,35 ,46 ,0 ,31 ,14 ,16 ,13 ,112 ,126 ,128 ,125 ,,,125.7 ,,,125.8 ,126.50 
90 ,9 ,9,Mettmenstetten,23 ,58 ,0 ,31 ,9 ,16 ,13 ,112 ,121 ,128 ,125 ,,,121.5 ,,,121.2 ,123.10 
104 ,10 ,10,Obfelden,33 ,52 ,0 ,25 ,14 ,16 ,13 ,110 ,124 ,126 ,123 ,,,123.3 ,,,123.1 ,124.80 
110 ,11 ,11,Ottenbach,27 ,60 ,0 ,25 ,13 ,16 ,13 ,112 ,125 ,128 ,125 ,,,122.8 ,,,122.5 ,125.99 
119 ,12 ,12,Rifferswil,89 ,0 ,0 ,24 ,14 ,16 ,13 ,113 ,127 ,129 ,126 ,,,126.0 ,,,124.9 ,127.42 
135 ,13 ,13,Stallikon,29 ,44 ,0 ,24 ,14 ,15 ,13 ,97 ,111 ,112 ,110 ,,,108.1 ,,,108.6 ,111.33 
160 ,14 ,14,Wettswil a.A.,25 ,50 ,0 ,24 ,14 ,15 ,13 ,99 ,113 ,114 ,112 ,,,111.5 ,,,111.5 ,113.37 
1 ,21 ,15,Adlikon,55 ,40 ,0 ,20 ,9 ,16 ,13 ,115 ,124 ,131 ,128 ,,,124.1 ,,,124.2 ,124.77 
7 ,30 ,16,Andelfingen,55 ,41 ,0 ,20 ,9 ,16 ,13 ,116 ,125 ,132 ,129 ,,,125.5 ,,,125.7 ,126.40 
13 ,22 ,17,Benken,45 ,47 ,0 ,17 ,14 ,16 ,13 ,109 ,123 ,125 ,122 ,,,121.1 ,,,121.5 ,123.28 
14 ,23 ,18,Berg a.I.,27 ,62 ,0 ,20 ,12 ,15 ,13 ,109 ,121 ,124 ,122 ,,,120.8 ,,,120.8 ,121.36 
21 ,24 ,19,Buch a.I.,55 ,44 ,0 ,20 ,14 ,15 ,13 ,119 ,133 ,134 ,132 ,,,132.0 ,,,132.1 ,133.09 
24 ,25 ,20,Dachsen,49 ,44 ,0 ,26 ,12 ,16 ,13 ,119 ,131 ,135 ,132 ,,,130.9 ,,,130.7 ,131.84 
33 ,26 ,21,Dorf,47 ,48 ,0 ,20 ,14 ,15 ,13 ,115 ,129 ,130 ,128 ,,,129.0 ,,,128.7 ,129.04 
45 ,27 ,22,Feuerthalen,45 ,0 ,70 ,0 ,14 ,16 ,13 ,115 ,129 ,131 ,128 ,,,128.2 ,,,128.0 ,129.70 
47 ,28 ,23,Flaach,46 ,48 ,0 ,20 ,12 ,15 ,13 ,114 ,126 ,129 ,127 ,,,125.4 ,,,123.2 ,126.42 
48 ,29 ,24,Flurlingen,53 ,40 ,0 ,26 ,12 ,16 ,13 ,119 ,131 ,135 ,132 ,,,129.6 ,,,129.9 ,131.92 
58 ,31 ,25,Henggart,39 ,53 ,0 ,20 ,14 ,15 ,13 ,112 ,126 ,127 ,125 ,,,125.4 ,,,125.4 ,126.19 
69 ,32 ,26,Humlikon,52 ,42 ,0 ,20 ,9 ,16 ,13 ,114 ,123 ,130 ,127 ,,,123.7 ,,,123.6 ,123.91 
76 ,33 ,27,Kleinandelfingen,43 ,54 ,0 ,20 ,9 ,16 ,13 ,117 ,126 ,133 ,130 ,,,126.3 ,,,126.3 ,127.19 
82 ,34 ,28,Laufen-Uhwiesen,48 ,38 ,0 ,26 ,12 ,16 ,13 ,112 ,124 ,128 ,125 ,,,123.6 ,,,123.5 ,124.88 
86 ,35 ,29,Marthalen,34 ,63 ,0 ,17 ,14 ,16 ,13 ,114 ,128 ,130 ,127 ,,,127.4 ,,,127.1 ,128.24 
102 ,36 ,30,Oberstammheim,58 ,36 ,0 ,25 ,14 ,16 ,13 ,119 ,133 ,135 ,132 ,,,132.5 ,,,132.6 ,133.32 
108 ,37 ,31,Ossingen,41 ,45 ,0 ,33 ,14 ,16 ,13 ,119 ,133 ,135 ,132 ,,,132.5 ,,,132.2 ,133.30 
116 ,38 ,32,Rheinau,54 ,43 ,0 ,17 ,12 ,16 ,13 ,114 ,126 ,130 ,127 ,,,126.7 ,,,126.5 ,127.92 
138 ,39 ,33,Thalheim a.d.Th.,34 ,60 ,0 ,20 ,14 ,16 ,13 ,114 ,128 ,130 ,127 ,,,127.7 ,,,127.4 ,128.28 
140 ,40 ,34,Trüllikon,40 ,60 ,0 ,17 ,14 ,16 ,13 ,117 ,131 ,133 ,130 ,,,130.2 ,,,130.1 ,131.30 
141 ,41 ,35,Truttikon,30 ,56 ,0 ,33 ,14 ,16 ,13 ,119 ,133 ,135 ,132 ,,,132.9 ,,,133.0 ,133.24 
146 ,42 ,36,Unterstammheim,48 ,44 ,0 ,25 ,14 ,16 ,13 ,117 ,131 ,133 ,130 ,,,130.8 ,,,130.8 ,131.18 
149 ,43 ,37,Volken,45 ,54 ,0 ,20 ,12 ,15 ,13 ,119 ,131 ,134 ,132 ,,,130.2 ,,,130.2 ,131.30 
154 ,44 ,38,Waltalingen,53 ,41 ,0 ,25 ,14 ,16 ,13 ,119 ,133 ,135 ,132 ,,,132.0 ,,,131.5 ,133.18 
8 ,51 ,39,Bachenbülach,28 ,57 ,0 ,27 ,11 ,15 ,13 ,112 ,123 ,127 ,125 ,,,123.1 ,,,123.0 ,124.64 
11 ,52 ,40,Bassersdorf,43 ,0 ,74 ,0 ,10 ,13 ,13 ,117 ,127 ,130 ,130 ,,,127.0 ,,,127.0 ,128.14 
23 ,53 ,41,Bülach,89 ,0 ,0 ,27 ,11 ,15 ,13 ,116 ,127 ,131 ,129 ,,,126.8 ,,,126.8 ,128.48 
31 ,54 ,42,Dietlikon,56 ,0 ,44 ,0 ,11 ,11 ,13 ,100 ,111 ,111 ,113 ,,,110.0 ,,,110.4 ,111.00 
37 ,55 ,43,Eglisau,44 ,0 ,75 ,0 ,13 ,16 ,13 ,119 ,132 ,135 ,132 ,,,131.4 ,,,131.2 ,132.75 
41 ,56 ,44,Embrach,82 ,0 ,0 ,33 ,11 ,15 ,13 ,115 ,126 ,130 ,128 ,,,126.2 ,,,126.0 ,127.48 
49 ,57 ,45,Freienstein-Teufen,35 ,0 ,80 ,0 ,14 ,15 ,13 ,115 ,129 ,130 ,128 ,,,127.4 ,,,126.9 ,129.26 
51 ,58 ,46,Glattfelden,35 ,0 ,74 ,0 ,13 ,16 ,13 ,109 ,122 ,125 ,122 ,,,121.3 ,,,121.3 ,122.96 
64 ,59 ,47,Hochfelden,40 ,45 ,0 ,27 ,11 ,15 ,13 ,112 ,123 ,127 ,125 ,,,122.7 ,,,122.4 ,124.08 
68 ,60 ,48,Höri,37 ,49 ,0 ,27 ,11 ,15 ,13 ,113 ,124 ,128 ,126 ,,,124.3 ,,,124.4 ,125.76 
70 ,61 ,49,Hüntwangen,39 ,50 ,0 ,24 ,14 ,16 ,13 ,113 ,127 ,129 ,126 ,,,124.8 ,,,125.5 ,127.38 
77 ,62 ,50,Kloten,92 ,0 ,0 ,0 ,11 ,13 ,13 ,92 ,103 ,105 ,105 ,,,102.6 ,,,102.7 ,103.88 
