,,,Gemeindesteuerfüsse 2011 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gew. Mittel,,,def. gew. Mittel,,jurist-,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
4 ,1 ,1,Aeugst a.A.,36,39,0,23,10,16,14,98,108,114,112,,,,,,105.1,109.92,,,,,
5 ,2 ,2,Affoltern a.A.,69,30,0,23,13,16,14,122,135,138,136,,,,,,132.0,136.44,,,,,
17 ,3 ,3,Bonstetten,36,50,0,18,14,9,14,104,118,113,118,,,,,,112.0,115.80,,,,,
56 ,4 ,4,Hausen a.A.,90,0,0,23,11,15,14,113,124,128,127,,,,,,121.1,125.64,,,,,
57 ,5 ,5,Hedingen,105,0,0,0,12,16,14,105,117,121,119,,,,,,115.7,118.48,,,,,
74 ,6 ,6,Kappel a.A.,38,52,0,23,14,15,14,113,127,128,127,,,,,,123.0,127.35,,,,,
78 ,7 ,7,Knonau,51,47,0,24,14,15,14,122,136,137,136,,,,,,132.3,136.48,,,,,
87 ,8 ,8,Maschwanden,53,45,0,24,14,15,14,122,136,137,136,,,,,,133.8,136.29,,,,,
90 ,9 ,9,Mettmenstetten,33,42,0,24,11,15,14,99,110,114,113,,,,,,107.3,111.52,,,,,
104 ,10 ,10,Obfelden,55,44,0,22,12,16,14,121,133,137,135,,,,,,130.4,134.76,,,,,
110 ,11 ,11,Ottenbach,42,48,0,22,14,16,14,112,126,128,126,,,,,,122.6,126.74,,,,,
119 ,12 ,12,Rifferswil,90,0,0,23,14,15,14,113,127,128,127,,,,,,122.9,127.28,,,,,
135 ,13 ,13,Stallikon,73,0,0,18,8,9,14,91,99,100,105,,,,,,96.1,99.41,,,,,
160 ,14 ,14,Wettswil a.A.,32,33,0,18,8,9,14,83,91,92,97,,,,,,88.9,91.43,,,,,
1 ,21 ,15,Adlikon,60,32,0,23,12,15,14,115,127,130,129,,,,,,123.6,127.36,,,,,
7 ,30 ,16,Andelfingen,47,38,0,23,12,15,14,108,120,123,122,,,,,,116.6,120.75,,,,,
13 ,22 ,17,Benken,45,50,0,24,14,15,14,119,133,134,133,,,,,,129.0,133.22,,,,,
14 ,23 ,18,Berg a.I.,55,36,0,23,14,13,14,114,128,127,128,,,,,,124.9,127.85,,,,,
21 ,24 ,19,Buch a.I.,46,47,0,23,14,13,14,116,130,129,130,,,,,,127.2,129.84,,,,,
24 ,25 ,20,Dachsen,42,48,0,23,12,15,14,113,125,128,127,,,,,,121.2,125.84,,,,,
33 ,26 ,21,Dorf,45,48,0,23,14,13,14,116,130,129,130,,,,,,127.2,129.83,,,,,
45 ,27 ,22,Feuerthalen,55,0,63,0,13,15,14,118,131,133,132,,,,,,127.4,131.78,,,,,
47 ,28 ,23,Flaach,46,44,0,23,14,13,14,113,127,126,127,,,,,,123.4,126.80,,,,,
48 ,29 ,24,Flurlingen,48,45,0,23,12,15,14,116,128,131,130,,,,,,124.8,128.87,,,,,
58 ,31 ,25,Henggart,89,0,0,23,12,13,14,112,124,125,126,,,,,,122.2,124.26,,,,,
69 ,32 ,26,Humlikon,52,47,0,23,12,15,14,122,134,137,136,,,,,,131.5,134.57,,,,,
76 ,33 ,27,Kleinandelfingen,51,38,0,23,12,15,14,112,124,127,126,,,,,,121.8,124.78,,,,,
82 ,34 ,28,Laufen-Uhwiesen,53,39,0,23,12,15,14,115,127,130,129,,,,,,124.6,127.78,,,,,
86 ,35 ,29,Marthalen,51,41,0,24,14,15,14,116,130,131,130,,,,,,127.4,130.20,,,,,
102 ,36 ,30,Oberstammheim,50,0,72,0,14,15,14,122,136,137,136,,,,,,133.8,136.15,,,,,
108 ,37 ,31,Ossingen,46,49,0,27,14,15,14,122,136,137,136,,,,,,133.1,136.18,,,,,
116 ,38 ,32,Rheinau,98,0,0,24,14,14,14,122,136,136,136,,,,,,131.8,136.00,,,,,
138 ,39 ,33,Thalheim a.d.Th.,90,0,0,23,14,13,14,113,127,126,127,,,,,,122.7,126.86,,,,,
140 ,40 ,34,Trüllikon,44,44,0,24,14,15,14,112,126,127,126,,,,,,123.1,126.20,,,,,
141 ,41 ,35,Truttikon,44,42,0,27,14,15,14,113,127,128,127,,,,,,123.7,127.22,,,,,
146 ,42 ,36,Unterstammheim,50,0,72,0,14,15,14,122,136,137,136,,,,,,133.8,136.16,,,,,
149 ,43 ,37,Volken,46,53,0,23,14,13,14,122,136,135,136,,,,,,130.1,135.80,,,,,
154 ,44 ,38,Waltalingen,50,0,72,0,14,15,14,122,136,137,136,,,,,,133.2,136.17,,,,,
8 ,51 ,39,Bachenbülach,32,47,0,21,10,12,14,100,110,112,114,,,,,,107.4,110.88,,,,,
11 ,52 ,40,Bassersdorf,104,0,0,0,10,11,14,104,114,115,118,,,,,,111.3,114.46,,,,,
23 ,53 ,41,Bülach,96,0,0,21,10,12,14,117,127,129,131,,,,,,124.6,127.86,,,,,
31 ,54 ,42,Dietlikon,41,0,54,0,12,12,14,95,107,107,109,,,,,,104.1,107.00,,,,,
37 ,55 ,43,Eglisau,46,0,76,0,14,13,14,122,136,135,136,,,,,,131.4,135.66,,,,,
41 ,56 ,44,Embrach,96,0,0,22,10,12,14,118,128,130,132,,,,,,126.3,128.84,,,,,
49 ,57 ,45,Freienstein-Teufen,46,0,66,0,14,12,14,112,126,124,126,,,,,,121.7,125.34,,,,,
