,,,Gemeindesteuerfüsse 2011 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
51 ,58 ,46,Glattfelden,34,0,81,0,14,13,14,115,129,128,129,,,,,,122.8,128.64,,,,,
64 ,59 ,47,Hochfelden,46,45,0,21,10,12,14,112,122,124,126,,,,,,120.1,122.68,,,,,
68 ,60 ,48,Höri,45,52,0,21,10,12,14,118,128,130,132,,,,,,125.7,129.00,,,,,
70 ,61 ,49,Hüntwangen,37,0,75,0,14,13,14,112,126,125,126,,,,,,121.9,125.76,,,,,
77 ,62 ,50,Kloten,105,0,0,0,10,11,14,105,115,116,119,,,,,,113.6,115.50,,,,,
84 ,63 ,51,Lufingen,67,0,0,22,14,12,14,89,103,101,103,,,,,,98.5,102.26,,,,,
97 ,64 ,52,Nürensdorf,92,0,0,0,10,11,14,92,102,103,106,,,,,,99.2,102.37,,,,,
98 ,65 ,53,Oberembrach,48,49,0,22,10,12,14,119,129,131,133,,,,,,127.0,129.48,,,,,
107 ,66 ,54,Opfikon,99,0,0,0,9,11,14,99,108,110,113,,,,,,108.4,109.16,,,,,
113 ,67 ,55,Rafz,115,0,0,0,14,13,14,115,129,128,129,,,,,,124.5,128.71,,,,,
120 ,68 ,56,Rorbas,46,0,66,0,14,12,14,112,126,124,126,,,,,,121.2,125.26,,,,,
153 ,69 ,57,Wallisellen,54,0,43,0,9,12,14,97,106,109,111,,,,,,104.3,107.44,,,,,
156 ,70 ,58,Wasterkingen,44,0,75,0,14,13,14,119,133,132,133,,,,,,129.0,132.76,,,,,
163 ,71 ,59,Wil,37,0,75,0,14,13,14,112,126,125,126,,,,,,121.8,125.83,,,,,
166 ,72 ,60,Winkel,24,31,0,21,10,12,14,76,86,88,90,,,,,,82.7,86.78,,,,,
9 ,81 ,61,Bachs,58,44,0,20,14,13,14,122,136,135,136,,,,,,133.2,135.80,,,,,
18 ,82 ,62,Boppelsen,25,44,0,19,14,8,14,88,102,96,102,,,,,,95.1,99.90,,,,,
22 ,83 ,63,Buchs,41,50,0,24,9,8,14,115,124,123,129,,,,,,121.3,123.56,,,,,
26 ,84 ,64,Dällikon,85,0,0,24,11,8,14,109,120,117,123,,,,,,116.5,118.65,,,,,
27 ,85 ,65,Dänikon,47,46,0,19,11,8,14,112,123,120,126,,,,,,119.6,121.56,,,,,
29 ,86 ,66,Dielsdorf,44,41,0,23,11,13,14,108,119,121,122,,,,,,116.9,119.90,,,,,
72 ,87 ,67,Hüttikon,47,46,0,19,14,8,14,112,126,120,126,,,,,,121.4,123.12,,,,,
92 ,88 ,68,Neerach,26,27,0,20,10,13,14,73,83,86,87,,,,,,79.9,83.99,,,,,
94 ,89 ,69,Niederglatt,35,52,0,26,11,13,14,113,124,126,127,,,,,,121.9,124.84,,,,,
95 ,90 ,70,Niederhasli,91,0,0,26,11,13,14,117,128,130,131,,,,,,125.4,128.88,,,,,
96 ,91 ,71,Niederweningen,49,0,63,0,10,13,14,112,122,125,126,,,,,,120.5,123.17,,,,,
100 ,92 ,72,Oberglatt,60,39,0,23,12,13,14,122,134,135,136,,,,,,130.5,134.50,,,,,
103 ,93 ,73,Oberweningen,49,0,63,0,11,13,14,112,123,125,126,,,,,,118.4,123.78,,,,,
109 ,94 ,74,Otelfingen,88,0,0,19,14,8,14,107,121,115,121,,,,,,116.7,118.72,,,,,
114 ,95 ,75,Regensberg,40,41,0,23,14,13,14,104,118,117,118,,,,,,115.4,117.71,,,,,
115 ,96 ,76,Regensdorf,40,48,0,24,7,8,14,112,119,120,126,,,,,,117.8,119.53,,,,,
121 ,97 ,77,Rümlang,45,45,0,23,8,11,14,113,121,124,127,,,,,,120.1,122.41,,,,,
126 ,98 ,78,Schleinikon,59,0,63,0,10,13,14,122,132,135,136,,,,,,129.9,132.84,,,,,
128 ,99 ,79,Schöfflisdorf,49,0,63,0,11,13,14,112,123,125,126,,,,,,120.3,123.60,,,,,
133 ,100 ,80,Stadel,47,45,0,20,14,13,14,112,126,125,126,,,,,,121.7,125.75,,,,,
136 ,101 ,81,Steinmaur,45,46,0,23,10,13,14,114,124,127,128,,,,,,122.0,125.17,,,,,
157 ,102 ,82,Weiach,30,43,0,20,11,13,14,93,104,106,107,,,,,,101.1,104.48,,,,,
3 ,241 ,83,Aesch,31,38,0,18,11,9,14,87,98,96,101,,,,,,95.4,97.30,,,,,
16 ,242 ,84,Birmensdorf,54,38,0,18,11,9,14,110,121,119,124,,,,,,117.0,120.10,,,,,
30 ,243 ,85,Dietikon,122,0,0,0,12,13,14,122,134,135,136,,,,,,131.6,134.64,,,,,
50 ,244 ,86,Geroldswil,46,32,0,17,11,15,14,95,106,110,109,,,,,,104.0,108.04,,,,,
99 ,245 ,87,Oberengstringen,112,0,0,0,10,13,14,112,122,125,126,,,,,,119.7,123.59,,,,,
105 ,246 ,88,Oetwil a.d.L.,41,32,0,17,11,15,14,90,101,105,104,,,,,,98.2,102.80,,,,,
127 ,247 ,89,Schlieren,119,0,0,0,11,12,14,119,130,131,133,,,,,,127.7,130.65,,,,,
144 ,248 ,90,Uitikon,59,0,18,0,7,9,14,77,84,86,91,,,,,,82.1,84.82,,,,,
145 ,249 ,91,Unterengstringen,46,30,0,17,11,13,14,93,104,106,107,,,,,,101.0,104.94,,,,,
147 ,250 ,92,Urdorf,59,0,59,0,9,11,14,118,127,129,132,,,,,,125.8,128.00,,,,,
158 ,251 ,93,Weiningen,82,0,0,17,11,15,14,99,110,114,113,,,,,,108.1,111.92,,,,,
10 ,111 ,94,Bäretswil,115,0,0,0,14,14,14,115,129,129,129,,,,,,125.0,129.00,,,,,
20 ,112 ,95,Bubikon,42,0,67,0,11,14,14,109,120,123,123,,,,,,118.1,121.08,,,,,
35 ,113 ,96,Dürnten,119,0,0,0,14,14,14,119,133,133,133,,,,,,129.1,133.00,,,,,
46 ,114 ,97,Fischenthal,61,0,61,0,14,14,14,122,136,136,136,,,,,,132.4,136.00,,,,,
52 ,115 ,98,Gossau,41,51,0,27,14,14,14,119,133,133,133,,,,,,129.0,133.00,,,,,
54 ,116 ,99,Grüningen,46,0,67,0,13,14,14,113,126,127,127,,,,,,122.7,126.31,,,,,
61 ,117 ,100,Hinwil,44,0,68,0,11,16,14,112,123,128,126,,,,,,122.1,124.80,,,,,
124 ,118 ,101,Rüti,57,36,0,25,14,14,14,118,132,132,132,,,,,,128.4,132.00,,,,,
131 ,119 ,102,Seegräben,94,0,0,23,12,14,14,117,129,131,131,,,,,,126.0,129.66,,,,,
152 ,120 ,103,Wald,122,0,0,0,14,15,14,122,136,137,136,,,,,,132.5,136.46,,,,,
161 ,121 ,104,Wetzikon,54,39,0,23,14,14,14,116,130,130,130,,,,,,125.9,130.00,,,,,
2 ,131 ,105,Adliswil,110,0,0,0,12,13,14,110,122,123,124,,,,,,118.5,122.51,,,,,
62 ,132 ,106,Hirzel,52,0,64,0,11,15,14,116,127,131,130,,,,,,123.9,128.40,,,,,
67 ,133 ,107,Horgen,90,0,0,0,10,13,14,90,100,103,104,,,,,,97.9,101.47,,,,,
71 ,134 ,108,Hütten,58,45,0,19,14,15,14,122,136,137,136,,,,,,133.8,136.48,,,,,
75 ,135 ,109,Kilchberg,80,0,0,0,9,9,14,80,89,89,94,,,,,,85.2,89.00,,,,,
81 ,136 ,110,Langnau a.A.,97,0,0,0,11,12,14,97,108,109,111,,,,,,104.8,108.48,,,,,
101 ,137 ,111,Oberrieden,82,0,0,0,11,10,14,82,93,92,96,,,,,,88.3,92.59,,,,,
117 ,138 ,112,Richterswil,104,0,0,0,12,13,14,104,116,117,118,,,,,,112.6,116.47,,,,,
122 ,139 ,113,Rüschlikon,79,0,0,0,9,10,14,79,88,89,93,,,,,,82.7,88.45,,,,,
129 ,140 ,114,Schönenberg,88,0,0,19,13,15,14,107,120,122,121,,,,,,117.3,120.78,,,,,
139 ,141 ,115,Thalwil,80,0,0,0,10,10,14,80,90,90,94,,,,,,86.4,90.00,,,,,
151 ,142 ,116,Wädenswil,86,0,0,19,12,13,14,105,117,118,119,,,,,,113.8,117.45,,,,,
42 ,151 ,117,Erlenbach,82,0,0,0,10,9,14,82,92,91,96,,,,,,88.0,91.59,,,,,
59 ,152 ,118,Herrliberg,78,0,0,0,8,9,14,78,86,87,92,,,,,,83.1,86.39,,,,,
66 ,153 ,119,Hombrechtikon,119,0,0,0,12,14,14,119,131,133,133,,,,,,128.3,131.80,,,,,
79 ,154 ,120,Küsnacht,30,0,47,0,6,9,14,77,83,86,91,,,,,,81.8,84.17,,,,,
85 ,155 ,121,Männedorf,90,0,0,0,11,14,14,90,101,104,104,,,,,,98.6,102.11,,,,,
89 ,156 ,122,Meilen,82,0,0,0,9,10,14,82,91,92,96,,,,,,88.2,91.38,,,,,
106 ,157 ,123,Oetwil a.S.,122,0,0,0,12,11,14,122,134,133,136,,,,,,130.4,133.56,,,,,
134 ,158 ,124,Stäfa,36,0,46,0,9,10,14,82,91,92,96,,,,,,89.1,91.38,,,,,
143 ,159 ,125,Uetikon a.S.,91,0,0,0,9,14,14,91,100,105,105,,,,,,97.5,101.95,,,,,
169 ,161 ,126,Zollikon ,79,0,0,0,7,8,14,79,86,87,93,,,,,,83.9,86.39,,,,,
170 ,160 ,127,Zumikon,63,0,13,0,7,8,14,76,83,84,90,,,,,,80.8,83.37,,,,,
12 ,171 ,128,Bauma,122,0,0,0,14,14,14,122,136,136,136,,,,,,133.0,136.00,,,,,
44 ,172 ,129,Fehraltorf,107,0,0,0,14,14,14,107,121,121,121,,,,,,117.3,121.00,,,,,
63 ,173 ,130,Hittnau,48,0,74,0,14,14,14,122,136,136,136,,,,,,132.2,136.00,,,,,
73 ,174 ,131,Illnau-Effretikon,115,0,0,0,13,13,14,115,128,128,129,,,,,,124.3,128.00,,,,,
80 ,175 ,132,Kyburg,122,0,0,0,14,12,14,122,136,134,136,,,,,,131.4,135.56,,,,,
83 ,176 ,133,Lindau,115,0,0,0,10,13,14,115,125,128,129,,,,,,122.7,126.14,,,,,
111 ,177 ,134,Pfäffikon,114,0,0,0,12,14,14,114,126,128,128,,,,,,123.0,126.70,,,,,
123 ,178 ,135,Russikon,116,0,0,0,12,14,14,116,128,130,130,,,,,,125.2,128.58,,,,,
137 ,179 ,136,Sternenberg,61,0,61,0,14,14,14,122,136,136,136,,,,,,133.1,136.00,,,,,
159 ,180 ,137,Weisslingen,106,0,0,0,13,12,14,106,119,118,120,,,,,,115.0,118.72,,,,,
164 ,181 ,138,Wila,65,35,0,22,14,16,14,122,136,138,136,,,,,,133.3,136.48,,,,,
165 ,182 ,139,Wildberg,49,51,0,22,14,16,14,122,136,138,136,,,,,,133.0,136.36,,,,,
34 ,191 ,140,Dübendorf,90,0,0,21,12,12,14,111,123,123,125,,,,,,119.8,123.00,,,,,
36 ,192 ,141,Egg,40,0,55,0,11,11,14,95,106,106,109,,,,,,103.6,106.00,,,,,
43 ,193 ,142,Fällanden,40,0,53,0,10,12,14,93,103,105,107,,,,,,100.4,103.88,,,,,
53 ,194 ,143,Greifensee,82,0,0,21,11,12,14,103,114,115,117,,,,,,110.9,114.42,,,,,
88 ,195 ,144,Maur,82,0,0,0,9,11,14,82,91,93,96,,,,,,88.1,91.72,,,,,
91 ,196 ,145,Mönchaltorf,116,0,0,0,13,11,14,116,129,127,130,,,,,,125.1,128.36,,,,,
130 ,197 ,146,Schwerzenbach,32,39,0,21,8,12,14,92,100,104,106,,,,,,99.6,101.84,,,,,
148 ,198 ,147,Uster,93,0,0,19,10,12,14,112,122,124,126,,,,,,119.7,122.88,,,,,
150 ,199 ,148,Volketswil,30,0,65,0,8,12,14,95,103,107,109,,,,,,102.3,104.84,,,,,
155 ,200 ,149,Wangen-Brüttisellen,105,0,0,0,11,12,14,105,116,117,119,,,,,,112.7,116.49,,,,,
6 ,211 ,150,Altikon,90,0,0,22,14,13,14,112,126,125,126,,,,,,122.6,125.83,,,,,
15 ,212 ,151,Bertschikon,91,0,0,22,14,13,14,113,127,126,127,,,,,,123.9,126.78,,,,,
19 ,213 ,152,Brütten,89,0,0,0,13,13,14,89,102,102,103,,,,,,98.8,102.00,,,,,
25 ,214 ,153,Dägerlen,55,41,0,22,14,13,14,118,132,131,132,,,,,,127.5,131.82,,,,,
28 ,215 ,154,Dättlikon,114,0,0,0,14,13,14,114,128,127,128,,,,,,124.7,127.74,,,,,
32 ,216 ,155,Dinhard,81,0,0,22,14,13,14,103,117,116,117,,,,,,114.4,116.79,,,,,
38 ,217 ,156,Elgg,56,40,0,23,14,16,14,119,133,135,133,,,,,,130.8,133.60,,,,,
39 ,218 ,157,Ellikon a.d.Th.,40,50,0,22,14,13,14,112,126,125,126,,,,,,122.5,125.75,,,,,
40 ,219 ,158,Elsau,48,41,0,25,14,13,14,114,128,127,128,,,,,,124.9,127.66,,,,,
55 ,220 ,159,Hagenbuch,89,0,0,23,14,16,14,112,126,128,126,,,,,,122.8,126.62,,,,,
60 ,221 ,160,Hettlingen,26,56,0,21,13,13,14,103,116,116,117,,,,,,112.3,116.00,,,,,
65 ,222 ,161,Hofstetten,53,46,0,23,14,16,14,122,136,138,136,,,,,,133.3,136.30,,,,,
93 ,223 ,162,Neftenbach,96,0,0,0,13,13,14,96,109,109,110,,,,,,104.4,109.00,,,,,
112 ,224 ,163,Pfungen,112,0,0,0,11,13,14,112,123,125,126,,,,,,120.3,123.70,,,,,
118 ,225 ,164,Rickenbach,39,51,0,22,13,13,14,112,125,125,126,,,,,,122.4,125.00,,,,,
125 ,226 ,165,Schlatt,47,50,0,25,14,12,14,122,136,134,136,,,,,,131.9,135.64,,,,,
132 ,227 ,166,Seuzach,76,0,0,21,10,13,14,97,107,110,111,,,,,,105.7,108.02,,,,,
142 ,228 ,167,Turbenthal,45,51,0,26,14,16,14,122,136,138,136,,,,,,133.1,136.60,,,,,
162 ,229 ,168,Wiesendangen,24,0,73,0,12,13,14,97,109,110,111,,,,,,107.0,109.30,,,,,
167 ,230 ,169,Winterthur,122,0,0,0,13,16,14,122,135,138,136,,,,,,132.4,136.26,,,,,
168 ,231 ,170,Zell,122,0,0,0,14,12,14,122,136,134,136,,,,,,131.8,135.32,,,,,
171 ,261 ,171,Zürich,119,0,0,0,10,11,14,119,129,130,133,,,,,,126.2,129.54,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ganzer Kanton,,,,,,,,,,,,,,,,110.8,118.9,,,,,,
,,,Kt. o. Stadt Zürich,,,,,,,,,,,,,,,,107.0,115.6,,,,,,
,,,Stadt Zürich,,,,,,,,,,,,,,,,119.0,126.2,,,,,,
,,,Stadt Winterthur,,,,,,,,,,,,,,,,122.0,132.4,,,,,,
,,,Uebrige Gemeinden,,,,,,,,,,,,,,,,105.2,113.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Affoltern,,,,,,,,,,,,,,,,108.9,117.7,,,,,,
,,,Andelfingen,,,,,,,,,,,,,,,,115.8,125.8,,,,,,
,,,Bülach,,,,,,,,,,,,,,,,105.5,113.7,,,,,,
,,,Dielsdorf,,,,,,,,,,,,,,,,111.1,118.7,,,,,,
,,,Dietikon,,,,,,,,,,,,,,,,111.8,120.3,,,,,,
,,,Hinwil,,,,,,,,,,,,,,,,116.5,126.5,,,,,,
,,,Horgen,,,,,,,,,,,,,,,,95.3,102.9,,,,,,
,,,Meilen,,,,,,,,,,,,,,,,86.4,92.8,,,,,,
,,,Pfäffikon,,,,,,,,,,,,,,,,114.9,124.4,,,,,,
,,,Uster,,,,,,,,,,,,,,,,103.3,111.2,,,,,,
,,,Winterthur,,,,,,,,,,,,,,,,117.9,128.1,,,,,,
,,,Zürich,,,,,,,,,,,,,,,,119.0,126.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Furttal,,,,,,,,,,,,,,,,110.9,117.5,,,,,,
,,,Glattal,,,,,,,,,,,,,,,,100.6,108.6,,,,,,
,,,Knonaueramt,,,,,,,,,,,,,,,,108.9,117.7,,,,,,
,,,Limmattal,,,,,,,,,,,,,,,,111.8,120.3,,,,,,
,,,Oberland,,,,,,,,,,,,,,,,115.0,124.4,,,,,,
,,,Pfannenstiel,,,,,,,,,,,,,,,,87.0,93.6,,,,,,
,,,Unterland,,,,,,,,,,,,,,,,111.7,120.0,,,,,,
,,,Weinland,,,,,,,,,,,,,,,,115.8,125.8,,,,,,
,,,Winterthur u. Umg.,,,,,,,,,,,,,,,,117.4,127.4,,,,,,
,,,Zimmerberg,,,,,,,,,,,,,,,,95.3,102.9,,,,,,
,,,Zürich,,,,,,,,,,,,,,,,119.0,126.2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,O'st. Uster,,,,,,,,,,,,,,,,,,,,,,,
,,,O'st. Nänikon-Greif,,,,,,,,,,,,,,,,,,,,,,,
,,,Ref.K. Marthalen,,,,,14,15,14,116,130,131,130,,,,,,,,,,,,
,,,Ref.K. Rheinau-Ellikon a.Rh.,,,,,14,14,14,122,136,136,136,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
