,,,Gemeindesteuerfüsse 2000 / Gewogene Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,ohne Kirche,mit Kirche,,ohne Kirche,mit Kirche,Pers.,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
138 ,39 ,33,Thalheim a.d.Th.,41,62,,23,15,16,14,126,141,142,140,,,138.4,,,137.7 ,141.13,,,,,,,,,,,
140 ,40 ,34,Trüllikon,43,53,,26,15,17,14,122,137,139,136,,,135.2,,,135.3 ,137.30,,,,,,,,,,,
141 ,41 ,35,Truttikon,29,57,,41,15,17,14,127,142,144,141,,,139.1,,,139.9 ,142.30,,,,,,,,,,,
146 ,42 ,36,Unterstammheim,53,55,,24,15,17,14,132,147,149,146,,,144.9,,,145.4 ,147.26,,,,,,,,,,,
149 ,43 ,37,Volken,48,56,,28,12,15,14,132,144,147,146,,,140.0,,,140.6 ,144.48,,,,,,,,,,,
154 ,44 ,38,Waltalingen,40,68,,24,15,17,14,132,147,149,146,,,144.9,,,145.4 ,147.24,,,,,,,,,,,
8 ,51 ,39,Bachenbülach,31,46,,22,12,14,14,99,111,113,113,,,109.2,,,109.3 ,111.86,,,,,,,,,,,
11 ,52 ,40,Bassersdorf,46,,70,,10,12,14,116,126,128,130,,,125.3,,,124.8 ,126.80,,,,,,,,,,,
23 ,53 ,41,Bülach,102,,,22,12,14,14,124,136,138,138,,,134.8,,,134.6 ,136.78,,,,,,,,,,,
31 ,54 ,42,Dietlikon,48,,51,,12,15,14,99,111,114,113,,,109.8,,,109.5 ,112.23,,,,,,,,,,,
37 ,55 ,43,Eglisau,49,,83,,15,17,14,132,147,149,146,,,144.9,,,144.8 ,147.54,,,,,,,,,,,
41 ,56 ,44,Embrach,98,,,24,15,14,14,122,137,136,136,,,134.0,,,133.8 ,136.61,,,,,,,,,,,
49 ,57 ,45,Freienstein-Teufen,44,,78,,15,14,14,122,137,136,136,,,133.7,,,134.1 ,136.71,,,,,,,,,,,
51 ,58 ,46,Glattfelden,45,,84,,14,17,14,129,143,146,143,,,140.7,,,140.6 ,144.08,,,,,,,,,,,
64 ,59 ,47,Hochfelden,55,45,,22,12,14,14,122,134,136,136,,,132.0,,,132.1 ,134.64,,,,,,,,,,,
68 ,60 ,48,Höri,48,52,,22,12,14,14,122,134,136,136,,,132.3,,,132.7 ,134.94,,,,,,,,,,,
70 ,61 ,49,Hüntwangen,48,54,,22,14,17,14,124,138,141,138,,,131.5,,,135.2 ,138.63,,,,,,,,,,,
77 ,62 ,50,Kloten,99,,,,12,12,14,99,111,111,113,,,109.4,,,109.4 ,111.00,,,,,,,,,,,
84 ,63 ,51,Lufingen,85,,,24,15,14,14,109,124,123,123,,,120.9,,,120.5 ,123.69,,,,,,,,,,,
97 ,64 ,52,Nürensdorf,24,,64,,10,12,14,88,98,100,102,,,96.9,,,96.7 ,98.70,,,,,,,,,,,
98 ,65 ,53,Oberembrach,43,61,,24,15,14,14,128,143,142,142,,,139.8,,,139.7 ,142.80,,,,,,,,,,,
107 ,66 ,54,Opfikon,93,,,,7,9,14,93,100,102,107,,,100.2,,,100.0 ,101.02,,,,,,,,,,,
113 ,67 ,55,Rafz,47,,80,,14,17,14,127,141,144,141,,,138.2,,,138.3 ,141.75,,,,,,,,,,,
120 ,68 ,56,Rorbas,44,,78,,15,14,14,122,137,136,136,,,134.0,,,133.7 ,136.68,,,,,,,,,,,
153 ,69 ,57,Wallisellen,65,,43,,9,15,14,108,117,123,122,,,117.5,,,117.5 ,119.58,,,,,,,,,,,
156 ,70 ,58,Wasterkingen,40,66,,22,14,17,14,128,142,145,142,,,140.8,,,140.0 ,142.57,,,,,,,,,,,
163 ,71 ,59,Wil,44,59,,22,14,17,14,125,139,142,139,,,136.2,,,135.7 ,139.48,,,,,,,,,,,
166 ,72 ,60,Winkel,26,42,,22,12,14,14,90,102,104,104,,,99.6,,,99.0 ,102.64,,,,,,,,,,,
9 ,81 ,61,Bachs,57,54,,21,15,14,14,132,147,146,146,,,144.5,,,144.0 ,146.83,,,,,,,,,,,
18 ,82 ,62,Boppelsen,33,39,,23,13,13,14,95,108,108,109,,,106.0,,,105.3 ,108.00,,,,,,,,,,,
22 ,83 ,63,Buchs,36,62,,24,14,13,14,122,136,135,136,,,132.4,,,132.4 ,135.61,,,,,,,,,,,
26 ,84 ,64,Dällikon,29,47,,24,10,13,14,100,110,113,114,,,109.1,,,109.5 ,111.29,,,,,,,,,,,
27 ,85 ,65,Dänikon,45,54,,23,10,13,14,122,132,135,136,,,130.7,,,130.4 ,133.29,,,,,,,,,,,
29 ,86 ,66,Dielsdorf,55,51,,25,9,14,14,131,140,145,145,,,140.1,,,140.3 ,142.10,,,,,,,,,,,
72 ,87 ,67,Hüttikon,45,54,,23,13,13,14,122,135,135,136,,,131.3,,,131.1 ,135.00,,,,,,,,,,,
92 ,88 ,68,Neerach,18,39,,21,12,14,14,78,90,92,92,,,88.0,,,87.5 ,90.64,,,,,,,,,,,
94 ,89 ,69,Niederglatt,32,51,,29,11,14,14,112,123,126,126,,,121.9,,,121.6 ,124.20,,,,,,,,,,,
95 ,90 ,70,Niederhasli,38,63,,29,11,14,14,130,141,144,144,,,140.0,,,140.1 ,142.23,,,,,,,,,,,
96 ,91 ,71,Niederweningen,86,,,36,10,14,14,122,132,136,136,,,130.8,,,131.6 ,133.48,,,,,,,,,,,
100 ,92 ,72,Oberglatt,75,36,,21,12,14,14,132,144,146,146,,,141.4,,,141.6 ,144.90,,,,,,,,,,,
103 ,93 ,73,Oberweningen,37,51,,36,11,14,14,124,135,138,138,,,132.8,,,132.7 ,135.99,,,,,,,,,,,
109 ,94 ,74,Otelfingen,100,,,23,13,13,14,123,136,136,137,,,134.3,,,134.2 ,136.00,,,,,,,,,,,
114 ,95 ,75,Regensberg,55,47,,25,15,14,14,127,142,141,141,,,139.4,,,138.8 ,141.73,,,,,,,,,,,
115 ,96 ,76,Regensdorf,40,50,,24,11,13,14,114,125,127,128,,,124.2,,,124.2 ,125.94,,,,,,,,,,,
121 ,97 ,77,Rümlang,50,45,,21,12,14,14,116,128,130,130,,,126.2,,,126.2 ,128.80,,,,,,,,,,,
126 ,98 ,78,Schleinikon,51,45,,36,10,14,14,132,142,146,146,,,140.3,,,140.9 ,143.00,,,,,,,,,,,
128 ,99 ,79,Schöfflisdorf,40,51,,36,11,14,14,127,138,141,141,,,136.7,,,137.0 ,138.93,,,,,,,,,,,
133 ,100 ,80,Stadel,46,55,,21,15,17,14,122,137,139,136,,,134.5,,,134.5 ,137.40,,,,,,,,,,,
136 ,101 ,81,Steinmaur,41,52,,25,12,14,14,118,130,132,132,,,128.5,,,128.4 ,130.70,,,,,,,,,,,
157 ,102 ,82,Weiach,12,53,,21,8,17,14,86,94,103,100,,,94.1,,,93.6 ,96.16,,,,,,,,,,,
3 ,241 ,83,Aesch,47,38,,18,11,12,14,103,114,115,117,,,111.9,,,112.0 ,114.31,,,,,,,,,,,
16 ,242 ,84,Birmensdorf,56,32,,18,11,12,14,106,117,118,120,,,114.5,,,114.4 ,117.39,,,,,,,,,,,
30 ,243 ,85,Dietikon,126,,,,12,15,14,126,138,141,140,,,137.5,,,137.9 ,139.83,,,,,,,,,,,
50 ,244 ,86,Geroldswil,41,45,,19,12,12,14,105,117,117,119,,,114.3,,,114.3 ,117.00,,,,,,,,,,,
99 ,245 ,87,Oberengstringen,41,,69,,11,14,14,110,121,124,124,,,119.8,,,119.5 ,122.44,,,,,,,,,,,
105 ,246 ,88,Oetwil a.d.L.,41,45,,19,12,12,14,105,117,117,119,,,113.9,,,113.9 ,117.00,,,,,,,,,,,
127 ,247 ,89,Schlieren,125,,,,11,14,14,125,136,139,139,,,135.5,,,135.5 ,137.68,,,,,,,,,,,
144 ,248 ,90,Uitikon,64,,25,,7,12,14,89,96,101,103,,,95.1,,,95.7 ,97.85,,,,,,,,,,,
145 ,249 ,91,Unterengstringen,46,33,,19,12,14,14,98,110,112,112,,,108.3,,,108.5 ,110.90,,,,,,,,,,,
147 ,250 ,92,Urdorf,58,,60,,12,13,14,118,130,131,132,,,129.0,,,128.8 ,130.47,,,,,,,,,,,
158 ,251 ,93,Weiningen,29,49,,19,12,12,14,97,109,109,111,,,107.3,,,107.0 ,109.00,,,,,,,,,,,
10 ,111 ,94,Bäretswil,44,55,,28,15,17,14,127,142,144,141,,,140.3,,,140.0 ,142.52,,,,,,,,,,,
20 ,112 ,95,Bubikon,42,,83,,15,17,14,125,140,142,139,,,137.9,,,137.9 ,140.64,,,,,,,,,,,
35 ,113 ,96,Dürnten,46,51,,27,15,17,14,124,139,141,138,,,136.3,,,136.5 ,139.80,,,,,,,,,,,
46 ,114 ,97,Fischenthal,66,,66,,15,17,14,132,147,149,146,,,145.2,,,145.1 ,147.56,,,,,,,,,,,
52 ,115 ,98,Gossau,43,57,,29,13,17,14,129,142,146,143,,,140.6,,,140.4 ,143.28,,,,,,,,,,,
54 ,116 ,99,Grüningen,45,,84,,13,17,14,129,142,146,143,,,140.6,,,140.4 ,143.20,,,,,,,,,,,
61 ,117 ,100,Hinwil,42,54,,26,11,17,14,122,133,139,136,,,132.8,,,132.9 ,135.04,,,,,,,,,,,
124 ,118 ,101,Rüti,53,48,,26,15,17,14,127,142,144,141,,,140.1,,,140.5 ,142.92,,,,,,,,,,,
131 ,119 ,102,Seegräben,50,54,,26,15,17,14,130,145,147,144,,,141.4,,,142.1 ,145.68,,,,,,,,,,,
152 ,120 ,103,Wald,62,45,,25,15,17,14,132,147,149,146,,,145.7,,,145.2 ,147.86,,,,,,,,,,,
161 ,121 ,104,Wetzikon,51,45,,26,14,17,14,122,136,139,136,,,134.5,,,134.4 ,137.26,,,,,,,,,,,
2 ,131 ,105,Adliswil,112,,,,11,13,14,112,123,125,126,,,121.2,,,121.4 ,123.96,,,,,,,,,,,
62 ,132 ,106,Hirzel,54,,78,,11,17,14,132,143,149,146,,,142.2,,,142.6 ,144.86,,,,,,,,,,,
67 ,133 ,107,Horgen,96,,,,10,13,14,96,106,109,110,,,105.3,,,105.5 ,107.38,,,,,,,,,,,
71 ,134 ,108,Hütten,62,48,,22,15,17,14,132,147,149,146,,,145.7,,,145.3 ,147.90,,,,,,,,,,,
75 ,135 ,109,Kilchberg,96,,,,10,12,14,96,106,108,110,,,103.7,,,103.2 ,106.78,,,,,,,,,,,
81 ,136 ,110,Langnau a.A.,107,,,,12,15,14,107,119,122,121,,,116.6,,,117.3 ,120.38,,,,,,,,,,,
101 ,137 ,111,Oberrieden,35,,53,,11,14,14,88,99,102,102,,,97.6,,,98.1 ,100.11,,,,,,,,,,,
117 ,138 ,112,Richterswil,118,,,,14,17,14,118,132,135,132,,,129.9,,,130.3 ,133.35,,,,,,,,,,,
122 ,139 ,113,Rüschlikon,86,,,,9,13,14,86,95,99,100,,,93.6,,,93.0 ,96.60,,,,,,,,,,,
129 ,140 ,114,Schönenberg,99,,,22,14,17,14,121,135,138,135,,,134.3,,,134.0 ,136.11,,,,,,,,,,,
139 ,141 ,115,Thalwil,85,,,,10,13,14,85,95,98,99,,,93.6,,,93.6 ,96.38,,,,,,,,,,,
151 ,142 ,116,Wädenswil,99,,,22,13,14,14,121,134,135,135,,,132.0,,,131.8 ,134.44,,,,,,,,,,,
42 ,151 ,117,Erlenbach,90,,,,10,10,14,90,100,100,104,,,97.2,,,97.7 ,100.00,,,,,,,,,,,
59 ,152 ,118,Herrliberg,57,,25,,7,10,14,82,89,92,96,,,87.8,,,88.1 ,89.99,,,,,,,,,,,
66 ,153 ,119,Hombrechtikon,45,,87,,14,17,14,132,146,149,146,,,145.3,,,145.0 ,147.05,,,,,,,,,,,
79 ,154 ,120,Küsnacht,68,,17,,7,10,14,85,92,95,99,,,90.7,,,90.5 ,93.05,,,,,,,,,,,
85 ,155 ,121,Männedorf,56,,54,,12,17,14,110,122,127,124,,,121.0,,,120.3 ,123.75,,,,,,,,,,,
89 ,156 ,122,Meilen,55,,35,,9,12,14,90,99,102,104,,,97.5,,,97.4 ,100.05,,,,,,,,,,,
106 ,157 ,123,Oetwil a.S.,44,,88,,14,16,14,132,146,148,146,,,143.1,,,143.4 ,146.82,,,,,,,,,,,
134 ,158 ,124,Stäfa,44,,52,,10,17,14,96,106,113,110,,,104.7,,,104.9 ,108.59,,,,,,,,,,,
143 ,159 ,125,Uetikon a.S.,43,,62,,10,17,14,105,115,122,119,,,114.6,,,114.1 ,117.38,,,,,,,,,,,
169 ,161 ,126,Zollikon,85,,,,7,11.5,14,85,92,96.5,99,,,91.0,,,91.3 ,93.62,,,,,,,,,,,
170 ,160 ,127,Zumikon,60,,19,,6,11.5,14,79,85,90.5,93,,,84.8,,,84.7 ,86.98,,,,,,,,,,,
12 ,171 ,128,Bauma,132,,,,15,17,14,132,147,149,146,,,145.5,,,145.5 ,147.58,,,,,,,,,,,
44 ,172 ,129,Fehraltorf,42,,79,,14,15,14,121,135,136,135,,,132.8,,,132.9 ,135.39,,,,,,,,,,,
63 ,173 ,130,Hittnau,53,,78,,15,15,14,131,146,146,145,,,143.5,,,143.9 ,146.00,,,,,,,,,,,
73 ,174 ,131,Illnau-Effretikon,122,,,,15,14,14,122,137,136,136,,,134.1,,,133.9 ,136.62,,,,,,,,,,,
80 ,175 ,132,Kyburg,55,45,,32,15,17,14,132,147,149,146,,,146.0,,,146.0 ,147.50,,,,,,,,,,,
83 ,176 ,133,Lindau,44,,74,,12,14,14,118,130,132,132,,,129.0,,,128.9 ,130.70,,,,,,,,,,,
111 ,177 ,134,Pfäffikon,54,50,,24,13,15,14,128,141,143,142,,,139.5,,,139.5 ,141.70,,,,,,,,,,,
123 ,178 ,135,Russikon,40,,81,,12,15,14,121,133,136,135,,,130.5,,,130.7 ,133.84,,,,,,,,,,,
137 ,179 ,136,Sternenberg,72,,60,,15,17,14,132,147,149,146,,,144.7,,,145.1 ,147.42,,,,,,,,,,,
