,,,Gemeindesteuerfüsse 2005 / Gewogene Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
4 ,1 ,1,Aeugst a.A.,39,41,,21,12,16,14,101 ,113 ,117,115,,,,,,110.9 ,114.16 ,,,,,,,,,,,
5 ,2 ,2,Affoltern a.A.,50,52,,21,14,16,14,123 ,137 ,139,137,,,,,,134.6 ,137.96 ,,,,,,,,,,,
17 ,3 ,3,Bonstetten,34,53,,21,14,9,14,108 ,122 ,117,122,,,,,,116.7 ,119.85 ,,,,,,,,,,,
56 ,4 ,4,Hausen a.A.,39,50,,26,11,16,14,115 ,126 ,131,129,,,,,,124.3 ,127.95 ,,,,,,,,,,,
57 ,5 ,5,Hedingen,41,,78,,12,16,14,119 ,131 ,135,133,,,,,,130.0 ,132.48 ,,,,,,,,,,,
74 ,6 ,6,Kappel a.A.,36,51,,26,14,16,14,113 ,127 ,129,127,,,,,,124.0 ,127.68 ,,,,,,,,,,,
78 ,7 ,7,Knonau,37,57,,29,14,16,14,123 ,137 ,139,137,,,,,,134.4 ,137.90 ,,,,,,,,,,,
87 ,8 ,8,Maschwanden,34,60,,29,14,16,14,123 ,137 ,139,137,,,,,,135.4 ,137.58 ,,,,,,,,,,,
90 ,9 ,9,Mettmenstetten,30,49,,29,10,16,14,108 ,118 ,124,122,,,,,,116.6 ,120.10 ,,,,,,,,,,,
104 ,10 ,10,Obfelden,46,50,,27,13,16,14,123 ,136 ,139,137,,,,,,133.1 ,137.23 ,,,,,,,,,,,
110 ,11 ,11,Ottenbach,40,55,,27,14,16,14,122 ,136 ,138,136,,,,,,132.9 ,136.72 ,,,,,,,,,,,
119 ,12 ,12,Rifferswil,89,,,26,14,16,14,115 ,129 ,131,129,,,,,,125.3 ,129.62 ,,,,,,,,,,,
135 ,13 ,13,Stallikon,78,,,21,10,9,14,99 ,109 ,108,113,,,,,,104.9 ,108.57 ,,,,,,,,,,,
160 ,14 ,14,Wettswil a.A.,32,34,,21,10,9,14,87 ,97 ,96,101,,,,,,94.0 ,96.58 ,,,,,,,,,,,
1 ,21 ,15,Adlikon,51,38,,25,14,16,14,114 ,128 ,130,128,,,,,,125.5 ,128.26 ,,,,,,,,,,,
7 ,30 ,16,Andelfingen,49,44,,25,14,16,14,118 ,132 ,134,132,,,,,,130.9 ,132.50 ,,,,,,,,,,,
13 ,22 ,17,Benken,45,50,,24,14,16,14,119 ,133 ,135,133,,,,,,130.4 ,133.36 ,,,,,,,,,,,
14 ,23 ,18,Berg a.I.,51,40,,24,14,13,14,115 ,129 ,128,129,,,,,,127.0 ,128.87 ,,,,,,,,,,,
21 ,24 ,19,Buch a.I.,40,54,,24,14,13,14,118 ,132 ,131,132,,,,,,129.3 ,131.88 ,,,,,,,,,,,
24 ,25 ,20,Dachsen,38,50,,25,13,16,14,113 ,126 ,129,127,,,,,,123.0 ,126.72 ,,,,,,,,,,,
33 ,26 ,21,Dorf,43,49,,24,14,13,14,116 ,130 ,129,130,,,,,,127.5 ,129.86 ,,,,,,,,,,,
45 ,27 ,22,Feuerthalen,49,,73,,14,16,14,122 ,136 ,138,136,,,,,,133.1 ,136.78 ,,,,,,,,,,,
47 ,28 ,23,Flaach,47,48,,24,12,13,14,119 ,131 ,132,133,,,,,,129.8 ,131.19 ,,,,,,,,,,,
48 ,29 ,24,Flurlingen,48,47,,25,13,16,14,120 ,133 ,136,134,,,,,,130.1 ,133.81 ,,,,,,,,,,,
58 ,31 ,25,Henggart,35,54,,25,14,13,14,114 ,128 ,127,128,,,,,,125.7 ,127.76 ,,,,,,,,,,,
69 ,32 ,26,Humlikon,42,56,,25,14,16,14,123 ,137 ,139,137,,,,,,134.5 ,137.42 ,,,,,,,,,,,
76 ,33 ,27,Kleinandelfingen,39,49,,25,14,16,14,113 ,127 ,129,127,,,,,,124.9 ,127.48 ,,,,,,,,,,,
82 ,34 ,28,Laufen-Uhwiesen,52,41,,25,13,16,14,118 ,131 ,134,132,,,,,,129.2 ,131.75 ,,,,,,,,,,,
86 ,35 ,29,Marthalen,51,44,,24,14,16,14,119 ,133 ,135,133,,,,,,131.3 ,133.36 ,,,,,,,,,,,
102 ,36 ,30,Oberstammheim,50,38,,35,14,16,14,123 ,137 ,139,137,,,,,,135.6 ,137.28 ,,,,,,,,,,,
108 ,37 ,31,Ossingen,46,48,,29,14,16,14,123 ,137 ,139,137,,,,,,135.5 ,137.36 ,,,,,,,,,,,
116 ,38 ,32,Rheinau,99,,,24,14,16,14,123 ,137 ,139,137,,,,,,133.5 ,138.00 ,,,,,,,,,,,
138 ,39 ,33,Thalheim a.d.Th.,41,52,,25,14,14,14,118 ,132 ,132,132,,,,,,128.1 ,132.00 ,,,,,,,,,,,
140 ,40 ,34,Trüllikon,45,44,,24,14,16,14,113 ,127 ,129,127,,,,,,124.4 ,127.32 ,,,,,,,,,,,
141 ,41 ,35,Truttikon,45,40,,29,14,16,14,114 ,128 ,130,128,,,,,,126.1 ,128.40 ,,,,,,,,,,,
146 ,42 ,36,Unterstammheim,33,55,,35,14,16,14,123 ,137 ,139,137,,,,,,134.9 ,137.28 ,,,,,,,,,,,
149 ,43 ,37,Volken,46,53,,24,12,13,14,123 ,135 ,136,137,,,,,,132.5 ,135.24 ,,,,,,,,,,,
154 ,44 ,38,Waltalingen,45,43,,35,14,16,14,123 ,137 ,139,137,,,,,,135.9 ,137.32 ,,,,,,,,,,,
8 ,51 ,39,Bachenbülach,27,40,,19,12,12,14,86 ,98 ,98,100,,,,,,95.1 ,98.00 ,,,,,,,,,,,
11 ,52 ,40,Bassersdorf,35,,68,,10,11,14,103 ,113 ,114,117,,,,,,110.9 ,113.43 ,,,,,,,,,,,
23 ,53 ,41,Bülach,102,,,19,12,12,14,121 ,133 ,133,135,,,,,,130.8 ,133.00 ,,,,,,,,,,,
31 ,54 ,42,Dietlikon,93,,,,12,12,14,93 ,105 ,105,107,,,,,,102.4 ,105.00 ,,,,,,,,,,,
37 ,55 ,43,Eglisau,45,,78,,14,16,14,123 ,137 ,139,137,,,,,,134.3 ,137.62 ,,,,,,,,,,,
41 ,56 ,44,Embrach,85,,,22,11,12,14,107 ,118 ,119,121,,,,,,116.1 ,118.41 ,,,,,,,,,,,
49 ,57 ,45,Freienstein-Teufen,44,,69,,14,12,14,113 ,127 ,125,127,,,,,,123.1 ,126.38 ,,,,,,,,,,,
51 ,58 ,46,Glattfelden,34,,83,,14,16,14,117 ,131 ,133,131,,,,,,127.1 ,131.68 ,,,,,,,,,,,
64 ,59 ,47,Hochfelden,48,46,,19,12,12,14,113 ,125 ,125,127,,,,,,122.7 ,125.00 ,,,,,,,,,,,
68 ,60 ,48,Höri,43,52,,19,12,12,14,114 ,126 ,126,128,,,,,,123.1 ,126.00 ,,,,,,,,,,,
70 ,61 ,49,Hüntwangen,38,54,,23,14,16,14,115 ,129 ,131,129,,,,,,125.1 ,129.46 ,,,,,,,,,,,
77 ,62 ,50,Kloten,105,,,,10,11,14,105 ,115 ,116,119,,,,,,113.4 ,115.48 ,,,,,,,,,,,
84 ,63 ,51,Lufingen,67,,,22,14,12,14,89 ,103 ,101,103,,,,,,98.2 ,102.32 ,,,,,,,,,,,
97 ,64 ,52,Nürensdorf,34,,58,,10,11,14,92 ,102 ,103,106,,,,,,100.0 ,102.37 ,,,,,,,,,,,
98 ,65 ,53,Oberembrach,46,51,,22,11,12,14,119 ,130 ,131,133,,,,,,128.0 ,130.20 ,,,,,,,,,,,
107 ,66 ,54,Opfikon,88,,,,7,9,14,88 ,95 ,97,102,,,,,,94.9 ,96.10 ,,,,,,,,,,,
113 ,67 ,55,Rafz,122,,,,13,16,14,122 ,135 ,138,136,,,,,,132.1 ,135.81 ,,,,,,,,,,,
120 ,68 ,56,Rorbas,44,,69,,14,12,14,113 ,127 ,125,127,,,,,,122.9 ,126.36 ,,,,,,,,,,,
153 ,69 ,57,Wallisellen,58,,39,,8,12,14,97 ,105 ,109,111,,,,,,104.9 ,106.80 ,,,,,,,,,,,
156 ,70 ,58,Wasterkingen,43,53,,23,14,16,14,119 ,133 ,135,133,,,,,,130.7 ,133.42 ,,,,,,,,,,,
163 ,71 ,59,Wil,39,53,,23,14,16,14,115 ,129 ,131,129,,,,,,125.4 ,129.32 ,,,,,,,,,,,
166 ,72 ,60,Winkel,24,31,,19,12,12,14,74 ,86 ,86,88,,,,,,82.1 ,86.00 ,,,,,,,,,,,
9 ,81 ,61,Bachs,61,41,,21,14,13,14,123 ,137 ,136,137,,,,,,134.2 ,136.81 ,,,,,,,,,,,
18 ,82 ,62,Boppelsen,29,40,,22,10,9,14,91 ,101 ,100,105,,,,,,98.3 ,100.67 ,,,,,,,,,,,
22 ,83 ,63,Buchs,36,55,,25,9,9,14,116 ,125 ,125,130,,,,,,122.9 ,125.00 ,,,,,,,,,,,
26 ,84 ,64,Dällikon,80,,,25,10,9,14,105 ,115 ,114,119,,,,,,112.5 ,114.54 ,,,,,,,,,,,
27 ,85 ,65,Dänikon,42,49,,22,10,9,14,113 ,123 ,122,127,,,,,,120.7 ,122.55 ,,,,,,,,,,,
29 ,86 ,66,Dielsdorf,46,47,,25,11,13,14,118 ,129 ,131,132,,,,,,127.0 ,129.84 ,,,,,,,,,,,
72 ,87 ,67,Hüttikon,42,49,,22,10,9,14,113 ,123 ,122,127,,,,,,120.1 ,122.53 ,,,,,,,,,,,
