,,,Gemeindesteuerfüsse 2004 / Gewogene Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
4 ,1 ,1,Aeugst a.A.,39,42,-,20,11,16,14,101 ,112 ,117,115,,,,,,110.3 ,113.40 ,,,,,,,,,,,
5 ,2 ,2,Affoltern a.A.,50,52,-,20,14,16,14,122 ,136 ,138,136,,,,,,133.4 ,136.94 ,,,,,,,,,,,
17 ,3 ,3,Bonstetten,34,53,-,21,14,9,14,108 ,122 ,117,122,,,,,,116.9 ,120.05 ,,,,,,,,,,,
56 ,4 ,4,Hausen a.A.,39,50,-,26,11,16,14,115 ,126 ,131,129,,,,,,124.7 ,127.90 ,,,,,,,,,,,
57 ,5 ,5,Hedingen,41,-,78,-,12,16,14,119 ,131 ,135,133,,,,,,128.9 ,132.56 ,,,,,,,,,,,
74 ,6 ,6,Kappel a.A.,35,51,-,26,14,16,14,112 ,126 ,128,126,,,,,,123.2 ,126.64 ,,,,,,,,,,,
78 ,7 ,7,Knonau,36,57,-,29,14,16,14,122 ,136 ,138,136,,,,,,133.6 ,136.90 ,,,,,,,,,,,
87 ,8 ,8,Maschwanden,33,60,-,29,14,16,14,122 ,136 ,138,136,,,,,,134.2 ,136.62 ,,,,,,,,,,,
90 ,9 ,9,Mettmenstetten,30,49,-,29,10,16,14,108 ,118 ,124,122,,,,,,117.4 ,120.10 ,,,,,,,,,,,
104 ,10 ,10,Obfelden,47,52,-,22,13,16,14,121 ,134 ,137,135,,,,,,131.6 ,135.23 ,,,,,,,,,,,
110 ,11 ,11,Ottenbach,42,58,-,22,14,16,14,122 ,136 ,138,136,,,,,,132.6 ,136.72 ,,,,,,,,,,,
119 ,12 ,12,Rifferswil,89,-,-,26,14,16,14,115 ,129 ,131,129,,,,,,125.1 ,129.60 ,,,,,,,,,,,
135 ,13 ,13,Stallikon,78,-,-,21,10,9,14,99 ,109 ,108,113,,,,,,104.8 ,108.57 ,,,,,,,,,,,
160 ,14 ,14,Wettswil a.A.,28,38,-,21,10,9,14,87 ,97 ,96,101,,,,,,93.9 ,96.60 ,,,,,,,,,,,
1 ,21 ,15,Adlikon,51,38,-,23,14,16,14,112 ,126 ,128,126,,,,,,123.2 ,126.26 ,,,,,,,,,,,
7 ,30 ,16,Andelfingen,49,40,-,23,14,16,14,112 ,126 ,128,126,,,,,,124.1 ,126.50 ,,,,,,,,,,,
13 ,22 ,17,Benken,42,53,-,23,14,16,14,118 ,132 ,134,132,,,,,,129.3 ,132.36 ,,,,,,,,,,,
14 ,23 ,18,Berg a.I.,51,42,-,24,14,14,14,117 ,131 ,131,131,,,,,,129.8 ,131.00 ,,,,,,,,,,,
21 ,24 ,19,Buch a.I.,40,54,-,24,14,14,14,118 ,132 ,132,132,,,,,,128.6 ,132.00 ,,,,,,,,,,,
24 ,25 ,20,Dachsen,38,50,-,24,13,16,14,112 ,125 ,128,126,,,,,,122.3 ,125.78 ,,,,,,,,,,,
33 ,26 ,21,Dorf,44,46,-,24,14,14,14,114 ,128 ,128,128,,,,,,126.2 ,128.00 ,,,,,,,,,,,
45 ,27 ,22,Feuerthalen,49,-,73,-,14,16,14,122 ,136 ,138,136,,,,,,132.8 ,136.74 ,,,,,,,,,,,
47 ,28 ,23,Flaach,47,48,-,24,12,14,14,119 ,131 ,133,133,,,,,,130.1 ,131.38 ,,,,,,,,,,,
48 ,29 ,24,Flurlingen,48,46,-,24,13,16,14,118 ,131 ,134,132,,,,,,127.5 ,131.84 ,,,,,,,,,,,
58 ,31 ,25,Henggart,35,54,-,23,14,14,14,112 ,126 ,126,126,,,,,,123.8 ,126.00 ,,,,,,,,,,,
69 ,32 ,26,Humlikon,42,57,-,23,14,16,14,122 ,136 ,138,136,,,,,,133.3 ,136.42 ,,,,,,,,,,,
76 ,33 ,27,Kleinandelfingen,40,49,-,23,14,16,14,112 ,126 ,128,126,,,,,,124.2 ,126.48 ,,,,,,,,,,,
82 ,34 ,28,Laufen-Uhwiesen,50,41,-,24,13,16,14,115 ,128 ,131,129,,,,,,125.6 ,128.75 ,,,,,,,,,,,
86 ,35 ,29,Marthalen,49,46,-,23,14,16,14,118 ,132 ,134,132,,,,,,129.9 ,132.38 ,,,,,,,,,,,
102 ,36 ,30,Oberstammheim,48,38,-,36,14,16,14,122 ,136 ,138,136,,,,,,134.5 ,136.30 ,,,,,,,,,,,
108 ,37 ,31,Ossingen,46,47,-,29,14,16,14,122 ,136 ,138,136,,,,,,134.4 ,136.34 ,,,,,,,,,,,
116 ,38 ,32,Rheinau,99,-,-,23,14,16,14,122 ,136 ,138,136,,,,,,131.8 ,137.00 ,,,,,,,,,,,
138 ,39 ,33,Thalheim a.d.Th.,40,54,-,23,14,14,14,117 ,131 ,131,131,,,,,,128.1 ,131.00 ,,,,,,,,,,,
140 ,40 ,34,Trüllikon,45,44,-,23,14,16,14,112 ,126 ,128,126,,,,,,123.6 ,126.30 ,,,,,,,,,,,
141 ,41 ,35,Truttikon,41,43,-,29,14,16,14,113 ,127 ,129,127,,,,,,125.1 ,127.36 ,,,,,,,,,,,
146 ,42 ,36,Unterstammheim,31,55,-,36,14,16,14,122 ,136 ,138,136,,,,,,133.8 ,136.28 ,,,,,,,,,,,
149 ,43 ,37,Volken,45,53,-,24,12,14,14,122 ,134 ,136,136,,,,,,131.1 ,134.40 ,,,,,,,,,,,
154 ,44 ,38,Waltalingen,33,53,-,36,14,16,14,122 ,136 ,138,136,,,,,,134.6 ,136.28 ,,,,,,,,,,,
8 ,51 ,39,Bachenbülach,30,45,-,19,12,14,14,94 ,106 ,108,108,,,,,,103.1 ,106.86 ,,,,,,,,,,,
11 ,52 ,40,Bassersdorf,35,-,68,-,10,11,14,103 ,113 ,114,117,,,,,,110.9 ,113.41 ,,,,,,,,,,,
23 ,53 ,41,Bülach,102,-,-,19,12,14,14,121 ,133 ,135,135,,,,,,130.6 ,133.80 ,,,,,,,,,,,
31 ,54 ,42,Dietlikon,90,-,-,-,12,12,14,90 ,102 ,102,104,,,,,,99.6 ,102.00 ,,,,,,,,,,,
37 ,55 ,43,Eglisau,45,-,77,-,14,16,14,122 ,136 ,138,136,,,,,,132.5 ,136.60 ,,,,,,,,,,,
41 ,56 ,44,Embrach,85,-,-,22,12,12,14,107 ,119 ,119,121,,,,,,117.4 ,119.00 ,,,,,,,,,,,
49 ,57 ,45,Freienstein-Teufen,39,-,73,-,14,12,14,112 ,126 ,124,126,,,,,,122.4 ,125.38 ,,,,,,,,,,,
51 ,58 ,46,Glattfelden,33,-,79,-,14,16,14,112 ,126 ,128,126,,,,,,122.3 ,126.68 ,,,,,,,,,,,
64 ,59 ,47,Hochfelden,48,45,-,19,12,14,14,112 ,124 ,126,126,,,,,,121.8 ,124.66 ,,,,,,,,,,,
68 ,60 ,48,Höri,43,52,-,19,12,14,14,114 ,126 ,128,128,,,,,,124.0 ,126.94 ,,,,,,,,,,,
70 ,61 ,49,Hüntwangen,38,54,-,23,14,16,14,115 ,129 ,131,129,,,,,,125.6 ,129.38 ,,,,,,,,,,,
77 ,62 ,50,Kloten,98,-,-,-,10,11,14,98 ,108 ,109,112,,,,,,105.7 ,108.48 ,,,,,,,,,,,
84 ,63 ,51,Lufingen,67,-,-,22,14,12,14,89 ,103 ,101,103,,,,,,98.4 ,102.34 ,,,,,,,,,,,
97 ,64 ,52,Nürensdorf,24,-,62,-,10,11,14,86 ,96 ,97,100,,,,,,94.2 ,96.36 ,,,,,,,,,,,
