,,,Gemeindesteuerfüsse 2010 / Gewogene Mittel,,,,,,"Altikon seit 2009 in der Region Winterthur u.U., nicht mehr im Weinland, gew. Mittel",,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
51 ,58 ,46,Glattfelden,34,0,81,0,14,13,14,115,129,128,129,,,,,,123.0,128.64,,,,,
64 ,59 ,47,Hochfelden,46,45,0,21,11,12,14,112,123,124,126,,,,,,120.3,123.34,,,,,
68 ,60 ,48,Höri,45,52,0,21,11,12,14,118,129,130,132,,,,,,126.0,129.50,,,,,
70 ,61 ,49,Hüntwangen,37,0,75,0,14,13,14,112,126,125,126,,,,,,121.3,125.77,,,,,
77 ,62 ,50,Kloten,110,0,0,0,10,11,14,110,120,121,124,,,,,,118.1,120.50,,,,,
84 ,63 ,51,Lufingen,67,0,0,22,14,12,14,89,103,101,103,,,,,,98.2,102.28,,,,,
97 ,64 ,52,Nürensdorf,92,0,0,0,10,11,14,92,102,103,106,,,,,,99.7,102.36,,,,,
98 ,65 ,53,Oberembrach,48,49,0,22,10,12,14,119,129,131,133,,,,,,126.7,129.46,,,,,
107 ,66 ,54,Opfikon,104,0,0,0,9,11,14,104,113,115,118,,,,,,112.0,114.08,,,,,
113 ,67 ,55,Rafz,117,0,0,0,14,13,14,117,131,130,131,,,,,,126.8,130.73,,,,,
