,,,Gemeindesteuerfüsse 2003 / Gewogene Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
4 ,1 ,1,Aeugst a.A.,39,42,-,21,11,16,14,102 ,113 ,118 ,116,,,,,,111.0 ,114.40 ,,,,,,,,,,,
5 ,2 ,2,Affoltern a.A.,42,58,-,21,14,16,14,121 ,135 ,137 ,135,,,,,,132.6 ,135.94 ,,,,,,,,,,,
17 ,3 ,3,Bonstetten,37,53,-,18,14,10,14,108 ,122 ,118 ,122,,,,,,117.4 ,120.44 ,,,,,,,,,,,
56 ,4 ,4,Hausen a.A.,38,52,-,25,11,16,14,115 ,126 ,131 ,129,,,,,,125.4 ,127.90 ,,,,,,,,,,,
57 ,5 ,5,Hedingen,41,-,78,-,12,16,14,119 ,131 ,135 ,133,,,,,,129.3 ,132.56 ,,,,,,,,,,,
74 ,6 ,6,Kappel a.A.,35,52,-,25,14,16,14,112 ,126 ,128 ,126,,,,,,122.3 ,126.64 ,,,,,,,,,,,
78 ,7 ,7,Knonau,36,57,-,29,14,16,14,122 ,136 ,138 ,136,,,,,,134.3 ,136.90 ,,,,,,,,,,,
87 ,8 ,8,Maschwanden,41,52,-,29,14,16,14,122 ,136 ,138 ,136,,,,,,133.2 ,136.62 ,,,,,,,,,,,
90 ,9 ,9,Mettmenstetten,30,51,-,29,9,16,14,110 ,119 ,126 ,124,,,,,,118.7 ,121.45 ,,,,,,,,,,,
104 ,10 ,10,Obfelden,43,55,-,23,13,16,14,121 ,134 ,137 ,135,,,,,,131.7 ,135.23 ,,,,,,,,,,,
110 ,11 ,11,Ottenbach,34,65,-,23,14,16,14,122 ,136 ,138 ,136,,,,,,132.7 ,136.72 ,,,,,,,,,,,
119 ,12 ,12,Rifferswil,89,-,-,25,14,16,14,114 ,128 ,130 ,128,,,,,,124.7 ,128.60 ,,,,,,,,,,,
135 ,13 ,13,Stallikon,81,-,-,18,10,10,14,99 ,109 ,109 ,113,,,,,,105.3 ,109.00 ,,,,,,,,,,,
160 ,14 ,14,Wettswil a.A.,28,41,-,18,10,10,14,87 ,97 ,97 ,101,,,,,,93.8 ,97.00 ,,,,,,,,,,,
1 ,21 ,15,Adlikon,51,38,-,23,13,16,14,112 ,125 ,128 ,126,,,,,,123.4 ,125.39 ,,,,,,,,,,,
7 ,30 ,16,Andelfingen,52,37,-,23,13,16,14,112 ,125 ,128 ,126,,,,,,124.2 ,125.75 ,,,,,,,,,,,
13 ,22 ,17,Benken,43,54,-,21,14,16,14,118 ,132 ,134 ,132,,,,,,128.9 ,132.36 ,,,,,,,,,,,
14 ,23 ,18,Berg a.I.,51,42,-,26,14,15,14,119 ,133 ,134 ,133,,,,,,131.9 ,133.12 ,,,,,,,,,,,
21 ,24 ,19,Buch a.I.,38,54,-,26,14,15,14,118 ,132 ,133 ,132,,,,,,126.8 ,132.12 ,,,,,,,,,,,
24 ,25 ,20,Dachsen,44,45,-,23,13,16,14,112 ,125 ,128 ,126,,,,,,122.5 ,125.78 ,,,,,,,,,,,
33 ,26 ,21,Dorf,44,44,-,26,14,15,14,114 ,128 ,129 ,128,,,,,,126.0 ,128.14 ,,,,,,,,,,,
45 ,27 ,22,Feuerthalen,49,-,73,-,14,16,14,122 ,136 ,138 ,136,,,,,,132.5 ,136.74 ,,,,,,,,,,,
47 ,28 ,23,Flaach,45,48,-,26,12,15,14,119 ,131 ,134 ,133,,,,,,129.1 ,131.57 ,,,,,,,,,,,
48 ,29 ,24,Flurlingen,52,45,-,23,13,16,14,120 ,133 ,136 ,134,,,,,,130.3 ,133.84 ,,,,,,,,,,,
58 ,31 ,25,Henggart,35,54,-,23,14,15,14,112 ,126 ,127 ,126,,,,,,124.0 ,126.24 ,,,,,,,,,,,
69 ,32 ,26,Humlikon,42,57,-,23,13,16,14,122 ,135 ,138 ,136,,,,,,133.7 ,135.63 ,,,,,,,,,,,
76 ,33 ,27,Kleinandelfingen,40,49,-,23,13,16,14,112 ,125 ,128 ,126,,,,,,123.3 ,125.72 ,,,,,,,,,,,
82 ,34 ,28,Laufen-Uhwiesen,51,41,-,23,13,16,14,115 ,128 ,131 ,129,,,,,,125.9 ,128.75 ,,,,,,,,,,,
86 ,35 ,29,Marthalen,49,46,-,21,14,16,14,116 ,130 ,132 ,130,,,,,,126.8 ,130.38 ,,,,,,,,,,,
102 ,36 ,30,Oberstammheim,51,38,-,33,14,16,14,122 ,136 ,138 ,136,,,,,,134.0 ,136.30 ,,,,,,,,,,,
108 ,37 ,31,Ossingen,46,43,-,33,14,16,14,122 ,136 ,138 ,136,,,,,,134.3 ,136.34 ,,,,,,,,,,,
116 ,38 ,32,Rheinau,101,-,-,21,14,16,14,122 ,136 ,138 ,136,,,,,,132.2 ,137.00 ,,,,,,,,,,,
138 ,39 ,33,Thalheim a.d.Th.,38,56,-,23,14,14,14,117 ,131 ,131 ,131,,,,,,128.2 ,131.00 ,,,,,,,,,,,
140 ,40 ,34,Trüllikon,45,46,-,21,14,16,14,112 ,126 ,128 ,126,,,,,,123.6 ,126.30 ,,,,,,,,,,,
141 ,41 ,35,Truttikon,41,43,-,33,14,16,14,117 ,131 ,133 ,131,,,,,,129.8 ,131.36 ,,,,,,,,,,,
146 ,42 ,36,Unterstammheim,34,55,-,33,14,16,14,122 ,136 ,138 ,136,,,,,,134.4 ,136.28 ,,,,,,,,,,,
149 ,43 ,37,Volken,44,52,-,26,12,15,14,122 ,134 ,137 ,136,,,,,,130.3 ,134.60 ,,,,,,,,,,,
154 ,44 ,38,Waltalingen,39,50,-,33,14,16,14,122 ,136 ,138 ,136,,,,,,135.0 ,136.28 ,,,,,,,,,,,
8 ,51 ,39,Bachenbülach,26,45,-,19,12,14,14,90 ,102 ,104 ,104,,,,,,99.9 ,102.86 ,,,,,,,,,,,
11 ,52 ,40,Bassersdorf,40,-,68,-,10,10,14,108 ,118 ,118 ,122,,,,,,116.2 ,118.00 ,,,,,,,,,,,
23 ,53 ,41,Bülach,102,-,-,19,12,14,14,121 ,133 ,135 ,135,,,,,,130.8 ,133.80 ,,,,,,,,,,,
31 ,54 ,42,Dietlikon,90,-,-,-,12,12,14,90 ,102 ,102 ,104,,,,,,99.7 ,102.00 ,,,,,,,,,,,
37 ,55 ,43,Eglisau,45,-,77,-,14,16,14,122 ,136 ,138 ,136,,,,,,132.9 ,136.60 ,,,,,,,,,,,
41 ,56 ,44,Embrach,89,-,-,23,13,12,14,112 ,125 ,124 ,126,,,,,,121.9 ,124.60 ,,,,,,,,,,,
49 ,57 ,45,Freienstein-Teufen,39,-,73,-,15,12,14,112 ,127 ,124 ,126,,,,,,122.4 ,126.07 ,,,,,,,,,,,
51 ,58 ,46,Glattfelden,35,-,77,-,14,16,14,112 ,126 ,128 ,126,,,,,,123.3 ,126.68 ,,,,,,,,,,,
64 ,59 ,47,Hochfelden,48,45,-,19,12,14,14,112 ,124 ,126 ,126,,,,,,122.1 ,124.66 ,,,,,,,,,,,
68 ,60 ,48,Höri,43,52,-,19,12,14,14,114 ,126 ,128 ,128,,,,,,124.2 ,126.94 ,,,,,,,,,,,
70 ,61 ,49,Hüntwangen,38,54,-,20,14,16,14,112 ,126 ,128 ,126,,,,,,121.6 ,126.38 ,,,,,,,,,,,
77 ,62 ,50,Kloten,90,-,-,-,10,10,14,90 ,100 ,100 ,104,,,,,,98.1 ,100.00 ,,,,,,,,,,,
84 ,63 ,51,Lufingen,66,-,-,23,14,12,14,89 ,103 ,101 ,103,,,,,,98.7 ,102.34 ,,,,,,,,,,,
97 ,64 ,52,Nürensdorf,24,-,62,-,10,10,14,86 ,96 ,96 ,100,,,,,,93.9 ,96.00 ,,,,,,,,,,,
98 ,65 ,53,Oberembrach,43,53,-,23,13,12,14,119 ,132 ,131 ,133,,,,,,128.9 ,131.78 ,,,,,,,,,,,
107 ,66 ,54,Opfikon,82,-,-,-,7,9,14,82 ,89 ,91 ,96,,,,,,90.3 ,90.06 ,,,,,,,,,,,
113 ,67 ,55,Rafz,119,-,-,-,13,16,14,119 ,132 ,135 ,133,,,,,,129.5 ,132.81 ,,,,,,,,,,,
120 ,68 ,56,Rorbas,39,-,73,-,15,12,14,112 ,127 ,124 ,126,,,,,,122.6 ,126.01 ,,,,,,,,,,,
153 ,69 ,57,Wallisellen,63,-,34,-,6,12,14,97 ,103 ,109 ,111,,,,,,103.7 ,105.64 ,,,,,,,,,,,
156 ,70 ,58,Wasterkingen,43,56,-,20,14,16,14,119 ,133 ,135 ,133,,,,,,131.6 ,133.42 ,,,,,,,,,,,
