,,,Gemeindesteuerfüsse 2008 / Gewogene Mittel,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
4 ,1 ,1,Aeugst a.A.,37,41,,24,12,16,14,102,114,118,116,,,,,,111.0,115.20,,,,,,,,,
5 ,2 ,2,Affoltern a.A.,47,52,,24,14,16,14,123,137,139,137,,,,,,133.8,137.94,,,,,,,,,
17 ,3 ,3,Bonstetten,33,52,,19,14,9,14,104,118,113,118,,,,,,112.2,115.85,,,,,,,,,
56 ,4 ,4,Hausen a.A.,41,48,,24,11,15,14,113,124,128,127,,,,,,121.6,125.56,,,,,,,,,
57 ,5 ,5,Hedingen,34,,76,,12,16,14,110,122,126,124,,,,,,120.2,123.44,,,,,,,,,
74 ,6 ,6,Kappel a.A.,38,51,,24,14,15,14,113,127,128,127,,,,,,124.5,127.34,,,,,,,,,
78 ,7 ,7,Knonau,43,56,,24,14,15,14,123,137,138,137,,,,,,134.3,137.44,,,,,,,,,
87 ,8 ,8,Maschwanden,49,50,,24,14,15,14,123,137,138,137,,,,,,134.9,137.30,,,,,,,,,
90 ,9 ,9,Mettmenstetten,28,47,,24,11,15,14,99,110,114,113,,,,,,108.2,111.52,,,,,,,,,
104 ,10 ,10,Obfelden,51,47,,23,12,16,14,121,133,137,135,,,,,,131.0,134.72,,,,,,,,,
110 ,11 ,11,Ottenbach,41,55,,23,14,16,14,119,133,135,133,,,,,,129.0,133.70,,,,,,,,,
119 ,12 ,12,Rifferswil,89,,,24,14,15,14,113,127,128,127,,,,,,121.5,127.28,,,,,,,,,
135 ,13 ,13,Stallikon,76,,,19,9,9,14,95,104,104,109,,,,,,100.5,104.00,,,,,,,,,
160 ,14 ,14,Wettswil a.A.,32,31,,19,9,9,14,82,91,91,96,,,,,,88.0,91.00,,,,,,,,,
1 ,21 ,15,Adlikon,60,30,,24,13,15,14,114,127,129,128,,,,,,124.7,127.26,,,,,,,,,
7 ,30 ,16,Andelfingen,47,40,,24,13,15,14,111,124,126,125,,,,,,122.1,124.52,,,,,,,,,
13 ,22 ,17,Benken,45,50,,24,14,15,14,119,133,134,133,,,,,,129.9,133.20,,,,,,,,,
14 ,23 ,18,Berg a.I.,55,36,,23,14,13,14,114,128,127,128,,,,,,126.1,127.86,,,,,,,,,
21 ,24 ,19,Buch a.I.,44,51,,23,14,13,14,118,132,131,132,,,,,,127.9,131.86,,,,,,,,,
24 ,25 ,20,Dachsen,41,48,,24,13,15,14,113,126,128,127,,,,,,122.4,126.54,,,,,,,,,
33 ,26 ,21,Dorf,45,48,,23,14,13,14,116,130,129,130,,,,,,127.1,129.85,,,,,,,,,
