,,,Gemeindesteuerfüsse 2007 / Gewogene Mittel,,,,,,Korrektur Steurfuss ref. Kirche Grüningen 24.5.2007 von 12 auf richtig 13 geändert,,,,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,St'fuss,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,für,,,,,,,,,
,,,,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,jurist-,,,,,,,,,
,,,,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische,,,,,,,,,
Alph.,BFS,P 90,Gemeinden,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,o. Kirche,mit Kirche,,o. Kirche,mit Kirche,Pers.,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
105 ,246 ,88,Oetwil a.d.L.,41,32,,17,11,15,14,90,101,105,104,,,,,,99.0,102.80,,,,,,,,,
127 ,247 ,89,Schlieren,119,,,,11,12,14,119,130,131,133,,,,,,128.2,130.61,,,,,,,,,
144 ,248 ,90,Uitikon,59,,19,,6,9,14,78,84,87,92,,,,,,82.7,85.14,,,,,,,,,
145 ,249 ,91,Unterengstringen,44,32,,17,11,12,14,93,104,105,107,,,,,,101.6,104.46,,,,,,,,,
147 ,250 ,92,Urdorf,56,,60,,10,11,14,116,126,127,130,,,,,,124.2,126.49,,,,,,,,,
158 ,251 ,93,Weiningen,79,,,17,11,15,14,96,107,111,110,,,,,,105.8,108.80,,,,,,,,,
10 ,111 ,94,Bäretswil,119,,,,14,15,14,119,133,134,133,,,,,,129.9,133.28,,,,,,,,,
20 ,112 ,95,Bubikon,43,,73,,11,15,14,116,127,131,130,,,,,,125.8,128.36,,,,,,,,,
35 ,113 ,96,Dürnten,123,,,,14,14,14,123,137,137,137,,,,,,133.5,137.00,,,,,,,,,
46 ,114 ,97,Fischenthal,61,,62,,14,15,14,123,137,138,137,,,,,,134.3,137.25,,,,,,,,,
52 ,115 ,98,Gossau,37,57,,27,14,16,14,121,135,137,135,,,,,,132.0,135.70,,,,,,,,,
54 ,116 ,99,Grüningen,42,,78,,13,15,14,120,133,135,134,,,,,,130.0,133.64,,,,,,,,,
61 ,117 ,100,Hinwil,41,46,,26,11,15,14,113,124,128,127,,,,,,123.0,125.44,,,,,,,,,
124 ,118 ,101,Rüti,53,42,,25,14,14,14,120,134,134,134,,,,,,130.8,134.00,,,,,,,,,
131 ,119 ,102,Seegräben,98,,,24,13,16,14,122,135,138,136,,,,,,132.6,136.02,,,,,,,,,
152 ,120 ,103,Wald,62,38,,23,14,16,14,123,137,139,137,,,,,,134.3,137.88,,,,,,,,,
161 ,121 ,104,Wetzikon,53,39,,24,14,16,14,116,130,132,130,,,,,,126.9,130.88,,,,,,,,,
2 ,131 ,105,Adliswil,104,,,,11,12,14,104,115,116,118,,,,,,111.4,115.49,,,,,,,,,
62 ,132 ,106,Hirzel,55,,68,,12,16,14,123,135,139,137,,,,,,133.5,136.28,,,,,,,,,
67 ,133 ,107,Horgen,95,,,,10,13,14,95,105,108,109,,,,,,103.5,106.44,,,,,,,,,
71 ,134 ,108,Hütten,57,45,,21,14,16,14,123,137,139,137,,,,,,134.7,137.96,,,,,,,,,
75 ,135 ,109,Kilchberg,83,,,,9,10,14,83,92,93,97,,,,,,88.6,92.40,,,,,,,,,
81 ,136 ,110,Langnau a.A.,102,,,,11,13,14,102,113,115,116,,,,,,110.8,113.94,,,,,,,,,
101 ,137 ,111,Oberrieden,35,,49,,11,12,14,84,95,96,98,,,,,,90.9,95.40,,,,,,,,,
117 ,138 ,112,Richterswil,110,,,,14,13,14,110,124,123,124,,,,,,119.5,123.54,,,,,,,,,
122 ,139 ,113,Rüschlikon,82,,,,9,10,14,82,91,92,96,,,,,,86.4,91.42,,,,,,,,,
129 ,140 ,114,Schönenberg,93,,,21,13,16,14,114,127,130,128,,,,,,125.0,128.14,,,,,,,,,
139 ,141 ,115,Thalwil,82,,,,10,10,14,82,92,92,96,,,,,,88.8,92.00,,,,,,,,,
151 ,142 ,116,Wädenswil,95,,,21,12,14,14,116,128,130,130,,,,,,125.7,128.88,,,,,,,,,
42 ,151 ,117,Erlenbach,75,,,,10,9,14,75,85,84,89,,,,,,81.2,84.60,,,,,,,,,
59 ,152 ,118,Herrliberg,80,,,,8,9,14,80,88,89,94,,,,,,85.8,88.37,,,,,,,,,
66 ,153 ,119,Hombrechtikon,51,,68,,14,15,14,119,133,134,133,,,,,,130.3,133.39,,,,,,,,,
79 ,154 ,120,Küsnacht,61,,16,,6,9,14,77,83,86,91,,,,,,81.5,84.17,,,,,,,,,
85 ,155 ,121,Männedorf,96,,,,12,13,14,96,108,109,110,,,,,,104.8,108.37,,,,,,,,,
89 ,156 ,122,Meilen,52,,30,,9,10,14,82,91,92,96,,,,,,87.9,91.37,,,,,,,,,
106 ,157 ,123,Oetwil a.S.,123,,,,14,12,14,123,137,135,137,,,,,,133.2,136.14,,,,,,,,,
134 ,158 ,124,Stäfa,36,,46,,10,12,14,82,92,94,96,,,,,,90.2,92.72,,,,,,,,,
143 ,159 ,125,Uetikon a.S.,95,,,,9,13,14,95,104,108,109,,,,,,102.1,105.48,,,,,,,,,
169 ,161 ,126,Zollikon ,79,,,,7,8,14,79,86,87,93,,,,,,83.8,86.41,,,,,,,,,
170 ,160 ,127,Zumikon,60,,13,,6,8,14,73,79,81,87,,,,,,77.9,79.74,,,,,,,,,
12 ,171 ,128,Bauma,123,,,,14,15,14,123,137,138,137,,,,,,134.4,137.29,,,,,,,,,
44 ,172 ,129,Fehraltorf,111,,,,14,13,14,111,125,124,125,,,,,,122.0,124.62,,,,,,,,,
63 ,173 ,130,Hittnau,47,,76,,14,13,14,123,137,136,137,,,,,,133.2,136.72,,,,,,,,,
73 ,174 ,131,Illnau-Effretikon,116,,,,13,12,14,116,129,128,130,,,,,,125.5,128.61,,,,,,,,,
80 ,175 ,132,Kyburg,123,,,,14,14,14,123,137,137,137,,,,,,133.2,137.00,,,,,,,,,
83 ,176 ,133,Lindau,115,,,,10,12,14,115,125,127,129,,,,,,122.9,125.72,,,,,,,,,
111 ,177 ,134,Pfäffikon,116,,,,13,13,14,116,129,129,130,,,,,,125.8,129.00,,,,,,,,,
123 ,178 ,135,Russikon,116,,,,12,13,14,116,128,129,130,,,,,,125.3,128.28,,,,,,,,,
137 ,179 ,136,Sternenberg,62,,61,,14,15,14,123,137,138,137,,,,,,133.8,137.21,,,,,,,,,
159 ,180 ,137,Weisslingen,116,,,,13,14,14,116,129,130,130,,,,,,126.4,129.28,,,,,,,,,
164 ,181 ,138,Wila,59,39,,25,14,14,14,123,137,137,137,,,,,,134.8,137.00,,,,,,,,,
165 ,182 ,139,Wildberg,49,49,,25,14,14,14,123,137,137,137,,,,,,133.6,137.00,,,,,,,,,
34 ,191 ,140,Dübendorf,94,,,19,12,12,14,113,125,125,127,,,,,,121.7,125.00,,,,,,,,,
36 ,192 ,141,Egg,42,,59,,11,12,14,101,112,113,115,,,,,,109.6,112.41,,,,,,,,,
43 ,193 ,142,Fällanden,40,,53,,10,12,14,93,103,105,107,,,,,,100.6,103.78,,,,,,,,,
53 ,194 ,143,Greifensee,33,49,,21,11,13,14,103,114,116,117,,,,,,112.1,114.82,,,,,,,,,
88 ,195 ,144,Maur,39,,43,,9,12,14,82,91,94,96,,,,,,88.1,92.05,,,,,,,,,
91 ,196 ,145,Mönchaltorf,121,,,,13,12,14,121,134,133,135,,,,,,130.3,133.68,,,,,,,,,
130 ,197 ,146,Schwerzenbach,35,42,,19,8,12,14,96,104,108,110,,,,,,104.1,105.72,,,,,,,,,
148 ,198 ,147,Uster,95,,,19,10,13,14,114,124,127,128,,,,,,122.6,125.32,,,,,,,,,
150 ,199 ,148,Volketswil,32,,65,,8,13,14,97,105,110,111,,,,,,104.9,107.25,,,,,,,,,
155 ,200 ,149,Wangen-Brüttisellen,116,,,,11,12,14,116,127,128,130,,,,,,124.3,127.49,,,,,,,,,
6 ,211 ,150,Altikon,91,,,22,14,13,14,113,127,126,127,,,,,,123.4,126.83,,,,,,,,,
15 ,212 ,151,Bertschikon,92,,,22,14,13,14,114,128,127,128,,,,,,125.1,127.78,,,,,,,,,
