,,,Gemeindesteuerfüsse 1993 / Gewogene Mittel,,,,,,,,,,,,,,,,,,
,,,In Prozent der einfachen Staatssteuer,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,Gesamtsteuerfüsse,,,,,,,,,,Steuerfuss
,,,Gemeinden,,,,,,,,-,-,-,-,-,-,-,-,-,-,
,,,Hauptgebiete,Poli-,Primar-,,Oberst'-,Ref. ,Röm.-kath.,Christkath.,,,,mit christ-,,prov. gewogene Mittel,,,def. gewogene Mittel,,für jurist-
,,,Bezirke,tische,schul-,Schul-,schul-,Kirch-,Kirch-,Kirch-,ohne,mit ref.,mit kath.,kath.,,-,-,,-,-,ische
Alph.,BFS,P 90,Regionen,Gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,gemeinde,Kirchen,Kirche,Kirche,Kirche,,ohne Kirche,mit Kirche,,ohne Kirche,mit Kirche,Personen
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86 ,35 ,29,Marthalen,38 ,56 ,,28 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.4 ,,,135.5 ,136.42 
102 ,36 ,30,Oberstammheim,52 ,47 ,,23 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.5 ,,,135.5 ,136.51 
108 ,37 ,31,Ossingen,39 ,46 ,,37 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.6 ,,,134.9 ,136.45 
116 ,38 ,32,Rheinau,38 ,56 ,,28 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.7 ,,,135.7 ,137.53 
138 ,39 ,33,Thalheim a.d.Th.,34 ,62 ,,21 ,14 ,17 ,14 ,117 ,131 ,134 ,131 ,,,130.4 ,,,130.4 ,131.48 
140 ,40 ,34,Trüllikon,40 ,54 ,,28 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.3 ,,,135.5 ,136.48 
141 ,41 ,35,Truttikon,24 ,61 ,,37 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.7 ,,,134.3 ,136.39 
146 ,42 ,36,Unterstammheim,50 ,49 ,,23 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,135.9 ,,,135.2 ,136.36 
149 ,43 ,37,Volken,46 ,54 ,,22 ,12 ,13 ,14 ,122 ,134 ,135 ,136 ,,,132.9 ,,,133.0 ,134.12 
154 ,44 ,38,Waltalingen,54 ,45 ,,23 ,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,134.8 ,,,134.9 ,136.36 
8 ,51 ,39,Bachenbülach,32 ,53 ,,27 ,12 ,14 ,14 ,112 ,124 ,126 ,126 ,,,123.0 ,,,123.1 ,124.82 
11 ,52 ,40,Bassersdorf,44 ,,75 ,,10 ,13 ,14 ,119 ,129 ,132 ,133 ,,,129.0 ,,,128.9 ,130.14 
23 ,53 ,41,Bülach,91 ,,,27 ,12 ,14 ,14 ,118 ,130 ,132 ,132 ,,,129.0 ,,,129.1 ,130.76 
31 ,54 ,42,Dietlikon,58 ,,52 ,,12 ,13 ,14 ,110 ,122 ,123 ,124 ,,,121.3 ,,,121.1 ,122.42 
37 ,55 ,43,Eglisau,45 ,,77 ,,14 ,17 ,14 ,122 ,136 ,139 ,136 ,,,134.8 ,,,135.2 ,136.75 
41 ,56 ,44,Embrach,92 ,,,27 ,14 ,15 ,14 ,119 ,133 ,134 ,133 ,,,131.5 ,,,131.7 ,133.38 
49 ,57 ,45,Freienstein-Teufen,35 ,,87 ,,14 ,15 ,14 ,122 ,136 ,137 ,136 ,,,134.1 ,,,133.9 ,136.27 
51 ,58 ,46,Glattfelden,40 ,,80 ,,13 ,17 ,14 ,120 ,133 ,137 ,134 ,,,132.4 ,,,132.1 ,134.32 
64 ,59 ,47,Hochfelden,43 ,45 ,,27 ,12 ,14 ,14 ,115 ,127 ,129 ,129 ,,,125.8 ,,,126.0 ,127.56 
68 ,60 ,48,Höri,40 ,51 ,,27 ,12 ,14 ,14 ,118 ,130 ,132 ,132 ,,,129.5 ,,,129.3 ,130.90 
70 ,61 ,49,Hüntwangen,42 ,52 ,,24 ,14 ,17 ,14 ,118 ,132 ,135 ,132 ,,,130.4 ,,,130.6 ,132.60 
77 ,62 ,50,Kloten,105 ,,,,13 ,13 ,14 ,105 ,118 ,118 ,119 ,,,116.6 ,,,116.6 ,118.00 
84 ,63 ,51,Lufingen,85 ,,,27 ,14 ,15 ,14 ,112 ,126 ,127 ,126 ,,,124.9 ,,,124.5 ,126.28 
97 ,64 ,52,Nürensdorf,28 ,,86 ,,10 ,13 ,14 ,114 ,124 ,127 ,128 ,,,123.4 ,,,123.1 ,125.02 
98 ,65 ,53,Oberembrach,37 ,58 ,,27 ,14 ,15 ,14 ,122 ,136 ,137 ,136 ,,,133.8 ,,,133.9 ,136.21 
107 ,66 ,54,Opfikon,90 ,,,,7.5 ,11 ,14 ,90 ,97.5 ,101 ,104 ,,,97.9 ,,,98.2 ,99.28 
113 ,67 ,55,Rafz,43 ,,74 ,,14 ,17 ,14 ,117 ,131 ,134 ,131 ,,,128.8 ,,,127.6 ,131.69 
120 ,68 ,56,Rorbas,35 ,,87 ,,14 ,15 ,14 ,122 ,136 ,137 ,136 ,,,134.7 ,,,134.3 ,136.31 
153 ,69 ,57,Wallisellen,55 ,,35 ,,7 ,13 ,14 ,90 ,97 ,103 ,104 ,,,98.4 ,,,98.2 ,99.52 
