GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
845200U,"Adlikon, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,56314,Fr.,Franken
845700U,"Humlikon, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846000U,"Marthalen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,3992,Fr.,Franken
846300U,"Benken, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
846600U,"Trüllikon, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,2193,Fr.,Franken
846700U,"Truttikon, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
847100U,"Dägerlen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,23975,Fr.,Franken
847500U,"Ossingen, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,1083,Fr.,Franken
847600S,"Stammertal, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
848800U,"Turbenthal, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,24944,Fr.,Franken
848900U,"Wildberg, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,-3574,Fr.,Franken
849200U,"Wila, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,5298,Fr.,Franken
854201S,"Wiesendangen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
854800U,"Ellikon a.d.Th., Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,9366,Fr.,Franken
860300U,"Schwerzenbach, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,175155,Fr.,Franken
860400S,"Volketswil, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,210897,Fr.,Franken
860800S,"Bubikon, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,67756,Fr.,Franken
862500S,"Gossau, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,64219,Fr.,Franken
862700S,"Grüningen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,75056,Fr.,Franken
863000S,"Rüti, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,345455,Fr.,Franken
870000S,"Küsnacht, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,1492726,Fr.,Franken
890200S,"Urdorf, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,79303,Fr.,Franken
890300U,"Birmensdorf, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,169943,Fr.,Franken
890400U,"Aesch, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,58469,Fr.,Franken
890700U,"Wettswil a.A., Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,18897,Fr.,Franken
891000U,"Affoltern a.A., Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,271798,Fr.,Franken
891200U,"Obfelden, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,97452,Fr.,Franken
891300U,"Ottenbach, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,-41283,Fr.,Franken
891400U,"Aeugst a.A., Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,72936,Fr.,Franken
893200U,"Mettmenstetten, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,317246,Fr.,Franken
893300U,"Maschwanden, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,63218,Fr.,Franken
895500U,"Oetwil-Geroldswil, Primarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,3060,Fr.,Franken
