GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
861000O,"Uster, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
862000O,"Wetzikon-Seegräben, Sekundarschule",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,-620,Fr.,Franken
862500S,"Gossau, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,64219,Fr.,Franken
862700S,"Grüningen, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,75056,Fr.,Franken
863000S,"Rüti, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,345455,Fr.,Franken
870000S,"Küsnacht, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,1492726,Fr.,Franken
882000O,"Wädenswil-Schönenberg-Hütten, Oberstufenschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,63353,Fr.,Franken
890200S,"Urdorf, Schulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,79303,Fr.,Franken
890300O,"Birmensdorf-Aesch, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,10136,Fr.,Franken
890600O,"Bonstetten, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,118,Fr.,Franken
891000O,"Affoltern a. A.-Aeugst a. A., Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,,Fr.,Franken
891200O,"Obfelden-Ottenbach, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,10968,Fr.,Franken
891500O,"Hausen a. A., Kappel a. A., Rifferswil, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,181,Fr.,Franken
893200O,"Knonau / Maschwanden / Mettmenstetten, Sekundarschulgemeinde",Jahresrechnung,Erfolgsrechnung,Bildung,,148,213 Tagesstrukturen [Fr.],2017,9722,Fr.,Franken
